,cmun,province,municipality,altitude,koppen_climate,age_score,economy_score,economy_score_area,closest_distance_airport,school_score_area
151,33053,Asturias,Quirós,596.6254,Cfb,-10.991379310344826,0.0,7.61875,46.10590664157267,5.0
152,33072,Asturias,Teverga,693.9147,Cfb,-24.805950840879696,0.0,7.672058823529411,46.1194970214997,5.0
154,48005,Bizkaia,Arakaldo,191.3967,Cfb,48.43749999999999,0.0,13.149545,17.047288952260846,5.0
155,20023,Gipuzkoa,Berrobi,162.8121,Cfb,28.39285714285714,0.0,7.392857142857141,30.209576973307097,5.0
156,27007,Lugo,Begonte,416.7638,Csb,-23.86831275720165,7.55,17.269083333333334,59.28780385256618,5.0
157,48026,Bizkaia,Dima,120.6062,Cfb,21.162790697674424,3.5,16.61957176470588,21.793888522517104,5.0
159,20031,Gipuzkoa,Elduain,254.9981,Cfb,34.39999999999999,0.0,6.940811965811966,29.36020524970801,5.0
160,31087,Navarra,Elgorriaga,149.3327,Cfb,14.386792452830178,0.0,7.063092548076924,25.561931552514448,5.0
161,24106,León,Oseja de Sajambre,762.0876,Cfb,-27.19298245614036,0.0,0.4875,79.11738269442564,4.0
162,48059,Bizkaia,Mañaria,198.9331,Cfb,22.98311444652908,0.0,13.380037113402064,27.195006951299632,5.0
164,20033,Gipuzkoa,Elgeta,466.9089,Cfb,25.799289520426285,4.0,13.637120930232555,34.82461709572479,5.0
165,20021,Gipuzkoa,Belauntza,216.8134,Cfb,27.77777777777777,0.0,7.4649193548387105,32.34702242740526,5.0
166,20020,Gipuzkoa,Beizama,493.4712,Cfb,11.92307692307692,0.0,7.87996183206107,41.35482388588567,5.0
167,31054,Navarra,Bertizarana,135.3993,Cfb,23.001508295625943,0.0,8.129069736842103,28.06345035932475,5.0
168,48023,Bizkaia,Artea,128.3002,Cfb,19.050802139037444,0.0,14.530816666666665,21.295326749124552,5.0
169,27035,Lugo,Negueira de Muñiz,358.476,Csb,3.958333333333343,0.0,2.5197368421052637,84.47788801674795,5.0
170,39013,Cantabria,Cabezón de Liébana,368.491,Cfb,-20.648148148148135,0.0,1.081818181818182,69.29404014966744,1.5
171,31221,Navarra,Doneztebe/Santesteban,130.5545,Cfb,36.38079827400217,4.65,9.837734223300972,26.96516123014924,5.0
173,48091,Bizkaia,Atxondo,167.8765,Cfb,13.65313653136532,4.300000000000001,14.626924324324325,30.340055688100964,5.0
174,20004,Gipuzkoa,Albiztur,283.0236,Cfb,28.240740740740726,0.0,7.372328244274808,37.709728422746686,5.0
175,31129,Navarra,Ituren,157.9286,Cfb,21.61904761904762,0.0,7.009969036697247,26.186370503451027,5.0
176,15016,A Coruña,Camariñas,8.057896,Csb,-8.254809579897909,26.65,24.918333333333333,67.59555317831177,5.0
177,20050,Gipuzkoa,Leaburu,291.6496,Cfb,6.363636363636374,0.0,7.405200000000001,33.297731604500754,5.0
178,15032,A Coruña,Curtis,524.2576,Cfb,9.594140249759846,14.1,17.143103448275866,27.304126245822907,5.0
179,20022,Gipuzkoa,Berastegi,404.8885,Cfb,22.07207207207206,3.2,8.020867768595041,29.98709416268983,5.0
180,31263,Navarra,Zubieta,210.3568,Cfb,8.82352941176471,0.0,7.60678125,26.1377312061158,5.0
181,27018,Lugo,"Fonsagrada, A",957.5945,Csb,-39.22880815806248,7.45,5.525,97.0554513584714,5.0
182,1004,Álava,Artziniega,196.9808,Cfb,25.67349137931035,3.1,11.61766171875,26.840605897563208,5.0
183,48093,Bizkaia,Areatza,135.7863,Cfb,33.87096774193549,0.0,14.19289069767442,23.1683311914794,5.0
184,27056,Lugo,Rábade,404.1569,Csb,18.67469879518072,4.8,14.926269230769227,64.64433934297828,5.0
185,39010,Cantabria,Bárcena de Pie de Concha,341.4135,Cfb,-13.353115727002972,0.0,1.2775,38.55068000316622,3.0
187,31081,Navarra,Donamaria,198.6831,Cfb,13.73626373626373,0.0,7.60357986111111,28.50336911012736,5.0
188,20907,Gipuzkoa,Gaztelu,454.0377,Cfb,32.74853801169591,0.0,7.2792,32.57292073355664,5.0
189,15047,A Coruña,Mesía,396.5716,Csb,-14.703407656710128,6.6,23.3296078125,23.39881547479776,5.0
190,39071,Cantabria,San Pedro del Romeral,755.9124,Cfb,-10.969976905311768,0.0,2.083333333333333,34.551250948241126,3.0
192,48075,Bizkaia,Orozko,157.4331,Cfb,20.139150056412163,5.8,15.693458536585366,21.542433760501968,5.0
193,15052,A Coruña,Muxía,10.06232,Csb,-13.056379821958458,11.45,18.0078125,69.21347458744881,5.0
194,20054,Gipuzkoa,Lizartza,138.8465,Cfb,29.579579579579573,0.0,7.000189393939394,34.30233748597983,5.0
195,27039,Lugo,Outeiro de Rei,410.7439,Csb,7.508850381963853,32.8,29.867888888888885,65.84247177879332,5.0
196,39053,Cantabria,Polaciones,887.2664,Cfb,-28.217821782178213,0.0,1.7788888888888892,59.94856156806807,1.5
197,20007,Gipuzkoa,Altzo,215.736,Cfb,25.225225225225223,0.0,7.094172932330828,37.07958823330187,5.0
198,20005,Gipuzkoa,Alegia,98.53767,Cfb,27.10643015521066,6.75,10.513636363636364,37.73512635786269,5.0
199,9410,Burgos,Valle de Mena,316.4509,Cfb,16.011574632264285,11.65,16.305191666666666,37.88038179018562,5.0
200,33068,Asturias,Somiedo,1017.7,Cfb,-24.13953488372092,0.0,3.346052631578948,54.291760832225805,5.0
201,15093,A Coruña,Zas,221.0706,Csb,-19.63866729235101,18.1,32.44905,46.42728760468814,5.0
202,48024,Bizkaia,Zeanuri,172.2116,Cfb,15.107913669064745,2.2,14.38846304347826,24.54227870904665,5.0
203,20011,Gipuzkoa,Antzuola,236.781,Cfb,22.777777777777786,4.2,11.06117222222222,37.56186070145792,5.0
204,39039,Cantabria,Luena,495.1068,Cfb,-14.085667215815503,0.0,1.9310185185185187,36.8419141022156,4.0
205,20044,Gipuzkoa,Ikaztegieta,115.8261,Cfb,31.386138613861377,0.0,7.230534351145039,39.65445819940946,5.0
206,20060,Gipuzkoa,Orexa,407.6548,Cfb,15.277777777777786,0.0,6.899060150375941,34.19803323461183,5.0
208,9214,Burgos,Merindad de Montija,739.4695,Cfb,-9.716599190283404,0.0,3.3361111111111112,48.70350041553774,4.0
209,31248,Navarra,Luzaide/Valcarlos,364.558,Cfb,-9.104938271604937,0.0,3.690833333333333,45.71627708382065,5.0
211,31213,Navarra,Saldías,553.2933,Cfb,24.390243902439025,0.0,7.908423449612402,29.76863774351195,5.0
212,15084,A Coruña,Tordoia,372.4156,Cfb,-24.16380118787121,8.05,25.98006282051282,24.133345693120063,5.0
213,31137,Navarra,Beintza-Labaien,446.4482,Cfb,0.9132420091324178,0.0,7.578373975409836,30.16413359488289,5.0
214,20052,Gipuzkoa,Legorreta,122.1339,Cfb,24.20470262793914,3.85,9.209090909090907,41.90595909123759,5.0
215,31102,Navarra,Ezkurra,525.4611,Cfb,-36.76470588235294,0.0,7.7210120370370365,30.31515956975933,5.0
216,31090,Navarra,Eratsun,518.8293,Cfb,-9.67741935483869,0.0,7.966131529850747,30.3212380952719,5.0
217,1010,Álava,Ayala/Aiara,300.2789,Cfb,28.49608710445732,9.25,14.908977397260276,27.40496732167417,5.0
218,39051,Cantabria,Pesquera,614.1819,Cfb,-16.42857142857143,0.0,1.454090909090909,43.522122282684094,3.0
219,20035,Gipuzkoa,Ezkio-Itsaso,427.0138,Cfb,11.205432937181657,0.0,7.87556818181818,43.55368220119543,5.0
220,31031,Navarra,Areso,462.8911,Cfb,16.853932584269657,0.0,7.572404464285715,33.18983683120376,5.0
