cmun,municipality_name,province,altitude,longitude,latitude,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital
2085,Viveros,Albacete,1012.303,-2.576014,38.7733,Aeropuerto de Albacete,64.89452898212248,Villarrobledo,54.16112374644878,49.41064989877146,Hospital De Alta Resolución Sierra De Segura
2086,Yeste,Albacete,862.6873,-2.318711,38.36583,Aeropuerto de Albacete,75.9752706981356,Calasparra,56.877287760796975,40.96173099690359,Hospital De Alta Resolución Sierra De Segura
2901,Pozo Cañada,Albacete,826.6574,-1.736837,38.80128,Aeropuerto de Albacete,19.784109872704978,Albacete Los Llanos,24.13202699214889,22.45700140440728,Quironsalud Hospital Albacete
3002,Agost,Alicante,332.424,-0.6395459,38.44117,Aeropuerto de Alicante - Elche,18.48493634353244,Novelda-Aspe,12.643249573451294,15.64406849965281,Hospital General Universitario De Elda-Virgen De La Salud
3003,Agres,Alicante,724.617,-0.5156772,38.77988,Aeropuerto de Alicante - Elche,55.00051971801038,Agres,1.955986721778676,8.79491372073268,Hospital General De Ontinyent
3004,Aigües,Alicante,325.356,-0.3627366,38.49932,Aeropuerto de Alicante - Elche,29.475108865053432,Alcoi,25.141188106664256,11.91892308705309,Hospital Universitario San Juan De Alicante
3005,Albatera,Alicante,21.50101,-0.8696246,38.1806,Aeropuerto de Alicante - Elche,29.24893869688629,Elx Alta Velocidad,11.662029422324837,10.347215241171812,Hospital Vega Baja De Orihuela
3006,Alcalalí,Alicante,290.6824,-0.046652,38.75568,Aeropuerto de Alicante - Elche,68.92522764270923,Cocentaina,34.848328137503024,8.946356587957895,Centro Médico Acuario
3008,Alcoleja,Alicante,751.6678,-0.3323183,38.67542,Aeropuerto de Alicante - Elche,47.71460950504608,Cocentaina,12.334528071227638,12.062649754318974,Hospital Virgen De Los Lirios
3010,Alfafara,Alicante,587.1841,-0.5552129,38.77266,Aeropuerto de Alicante - Elche,54.04638663406428,Agres,3.9540075688610976,6.700270746965184,Hospital General De Ontinyent
3011,"Alfàs del Pi, l'",Alicante,96.30521,-0.1032094,38.58055,Aeropuerto de Alicante - Elche,51.8115539554833,Cocentaina,34.81101535906979,4.236092995428576,Hospital Imed Levante
3012,Algorfa,Alicante,29.95276,-0.7957607,38.08587,Aeropuerto de Alicante - Elche,30.120120524399805,Elx Alta Velocidad,17.996490454447432,5.110708969538575,Hospital Vega Baja De Orihuela
3013,Algueña,Alicante,536.0125,-1.003234,38.33886,Aeropuerto de Alicante - Elche,38.91953390286322,Novelda-Aspe,21.1143428008461,24.32201539334514,Hospital General Universitario De Elda-Virgen De La Salud
