cmun,municipality,population,number_of_houses,VDSL_30Mbps,fixed_wireless,FTTH,HFC,reception_30Mbps,reception_100Mbps,reception_1Gbps,4G,5G,"5G_3,5GHz"
5112,El Losar del Barco,101,289,0.0,0.47,0.0,0.0,0.38,0.0,0.0,1.0,0.65,0.0
5113,Los Llanos de Tormes,62,236,0.03,0.95,0.0,0.0,1.0,0.0,0.0,1.0,0.96,0.0
5114,Madrigal de las Altas Torres,1.350,1.028,0.12,0.78,0.89,0.0,1.0,0.88,0.0,1.0,0.0,0.0
5115,Maello,669,2.604,0.0,0.89,0.0,0.0,0.89,0.0,0.0,0.99,0.44,0.0
5116,Malpartida de Corneja,101,177,0.39,0.95,0.95,0.0,0.98,0.97,0.93,1.0,0.0,0.0
5117,Mamblas,198,171,0.0,0.03,0.97,0.0,0.0,0.0,0.97,0.98,0.0,0.0
5118,Mancera de Arriba,70,158,0.0,1.0,0.96,0.0,1.0,0.0,0.94,1.0,0.0,0.0
5119,Manjabálago y Ortigosa de Rioalmar,20,108,0.0,0.37,0.0,0.0,0.5,0.0,0.0,0.97,0.73,0.0
5120,Marlín,29,61,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5121,Martiherrero,338,258,0.29,0.12,0.0,0.0,0.82,0.0,0.0,0.69,0.7,0.03
5122,Martínez,117,277,0.0,0.98,0.0,0.0,0.98,0.0,0.0,1.0,0.0,0.0
5123,Mediana de Voltoya,116,149,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.96,0.49,0.0
5124,Medinilla,89,350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,0.0
5125,Mengamuñoz,61,97,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
5126,Mesegar de Corneja,57,159,0.0,0.47,0.99,0.0,0.99,0.99,0.96,1.0,0.63,0.0
5127,Mijares,726,1.136,0.27,0.93,0.94,0.0,1.0,0.97,0.96,1.0,0.01,0.0
5128,Mingorría,385,453,0.12,0.98,0.76,0.0,0.99,0.77,0.76,1.0,1.0,0.0
5129,El Mirón,109,193,0.0,0.68,0.66,0.0,0.65,0.65,0.64,0.95,0.0,0.0
5130,Mironcillo,112,167,0.13,1.0,0.98,0.0,1.0,1.0,0.98,1.0,0.01,0.0
5131,Mirueña de los Infanzones,90,233,0.0,0.01,0.96,0.0,1.0,0.0,0.93,0.37,0.51,0.0
5132,Mombeltrán,933,1.243,0.22,0.96,0.79,0.0,0.99,0.0,0.68,1.0,0.94,0.0
5133,Monsalupe,60,119,0.0,0.84,0.94,0.0,1.0,0.0,0.93,1.0,0.32,0.0
5134,Moraleja de Matacabras,57,72,0.0,0.28,1.0,0.0,0.87,0.0,1.0,1.0,0.0,0.0
5135,Muñana,463,545,0.0,0.07,0.81,0.0,0.97,0.83,0.81,1.0,0.74,0.0
5136,Muñico,79,207,0.22,0.5,0.99,0.0,0.61,0.0,0.98,1.0,0.56,0.0
5138,Muñogalindo,309,325,0.32,0.97,0.96,0.0,1.0,0.0,0.0,1.0,0.96,0.0
5139,Muñogrande,73,87,0.0,0.57,0.87,0.0,0.44,0.0,0.87,0.69,0.29,0.0
5140,Muñomer del Peco,109,54,0.0,0.15,1.0,0.0,0.99,0.98,0.98,1.0,0.51,0.0
5141,Muñopepe,102,94,0.16,0.3,0.91,0.0,0.98,0.96,0.86,1.0,0.0,0.0
5142,Muñosancho,89,119,0.0,0.71,0.87,0.0,0.0,0.0,0.87,1.0,0.0,0.0
5143,Muñotello,56,209,0.0,0.0,0.98,0.0,0.99,0.99,0.99,0.43,0.47,0.0
