cmun,municipality,population,number_of_houses,VDSL_30Mbps,fixed_wireless,FTTH,HFC,reception_30Mbps,reception_100Mbps,reception_1Gbps,4G,5G,"5G_3,5GHz"
26029,Bergasillas Bajera,33,64,0.0,1.0,0.58,0.0,1.0,0.58,0.57,1.0,0.0,0.0
26030,Bezares,25,31,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
26031,Bobadilla,93,114,0.13,1.0,0.93,0.0,1.0,0.95,0.91,1.0,0.59,0.0
26032,Brieva de Cameros,46,106,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26033,Briñas,190,219,0.12,1.0,0.62,0.0,1.0,0.8,0.79,1.0,1.0,0.4
26034,Briones,722,882,0.13,1.0,0.99,0.0,1.0,0.99,0.98,1.0,0.99,0.0
26035,Cabezón de Cameros,19,51,0.0,0.04,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26036,Calahorra,24.654,12.540,0.1,1.0,0.95,0.77,1.0,0.94,0.92,1.0,1.0,0.0
26037,Camprovín,171,174,0.08,1.0,0.93,0.0,1.0,0.93,0.93,1.0,0.01,0.0
26038,Canales de la Sierra,83,115,0.0,0.99,0.0,0.0,1.0,0.0,0.0,0.99,0.99,0.0
26039,Canillas de Río Tuerto,40,140,0.0,1.0,0.87,0.0,1.0,0.0,0.87,1.0,1.0,0.0
26040,Cañas,89,80,0.0,1.0,0.96,0.0,1.0,0.0,0.95,1.0,0.71,0.0
26041,Cárdenas,128,180,0.0,1.0,0.98,0.0,1.0,0.99,0.98,1.0,0.0,0.0
26042,Casalarreina,1.074,1.835,0.0,1.0,0.98,0.0,1.0,0.99,0.98,1.0,1.0,0.0
26043,Castañares de Rioja,395,1.118,0.09,1.0,0.99,0.0,1.0,0.99,0.99,1.0,0.85,0.0
26044,Castroviejo,48,67,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26045,Cellorigo,9,44,0.0,1.0,0.86,0.0,1.0,0.0,0.0,0.41,0.06,0.0
26046,Cenicero,2.073,1.699,0.25,1.0,0.98,0.0,1.0,0.97,0.97,1.0,0.0,0.0
26047,Cervera del Río Alhama,2.273,2.381,0.16,0.88,0.94,0.0,0.98,0.82,0.95,0.99,0.57,0.0
26048,Cidamón,23,12,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.36,0.0
26049,Cihuri,186,527,0.0,1.0,0.96,0.0,1.0,0.96,0.95,1.0,1.0,0.01
26050,Cirueña,194,702,0.0,1.0,0.94,0.0,1.0,0.0,0.81,1.0,1.0,0.0
26051,Clavijo,300,220,0.0,1.0,0.9,0.0,1.0,0.45,0.44,0.85,0.0,0.0
26052,Cordovín,153,146,0.0,0.91,0.95,0.0,1.0,0.97,0.97,1.0,0.0,0.0
26053,Corera,286,264,0.19,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.15,0.0
26054,Cornago,310,493,0.0,0.89,0.87,0.0,0.88,0.88,0.88,0.98,0.0,0.0
26055,Corporales,36,57,0.0,0.44,0.96,0.0,1.0,0.0,0.0,1.0,0.01,0.0
26056,Cuzcurrita de Río Tirón,526,1.232,0.03,0.99,0.99,0.0,1.0,0.99,0.99,1.0,0.96,0.0
26057,Daroca de Rioja,56,73,0.0,0.04,0.86,0.0,1.0,0.84,0.82,0.43,0.02,0.0
26058,Enciso,172,395,0.24,0.76,0.0,0.0,1.0,0.0,0.0,0.85,0.0,0.0
26059,Entrena,1.632,1.136,0.09,0.99,0.87,0.0,1.0,0.86,0.82,1.0,0.1,0.0
26060,Estollo,82,141,0.0,1.0,0.87,0.0,1.0,0.87,0.84,1.0,0.0,0.0
26061,Ezcaray,2.055,4.263,0.03,0.95,0.97,0.0,1.0,0.95,0.95,0.99,0.96,0.0
26062,Foncea,93,113,0.0,0.93,0.9,0.0,1.0,0.0,0.0,0.53,0.01,0.0
26063,Fonzaleche,138,232,0.0,1.0,0.93,0.0,1.0,0.0,0.0,1.0,0.68,0.0
26064,Fuenmayor,3.227,1.917,0.21,1.0,0.97,0.0,1.0,0.97,0.96,1.0,0.0,0.0
26065,Galbárruli,75,99,0.0,0.94,0.76,0.0,1.0,0.0,0.0,0.56,0.0,0.0
26066,Galilea,387,362,0.2,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.71,0.0
26067,Gallinero de Cameros,17,29,0.0,0.93,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
26068,Gimileo,109,127,0.05,1.0,0.94,0.0,1.0,0.94,0.92,1.0,1.0,0.0
26069,Grañón,250,350,0.18,1.0,0.99,0.0,1.0,1.0,1.0,1.0,1.0,0.0
26070,Grávalos,178,191,0.18,1.0,1.0,0.0,1.0,0.99,1.0,1.0,0.0,0.0
26071,Haro,11.634,8.447,0.18,1.0,0.98,0.45,1.0,0.98,0.96,1.0,1.0,1.0
26072,Herce,321,308,0.36,1.0,0.0,0.0,1.0,0.81,0.74,1.0,0.0,0.0
26073,Herramélluri,104,205,0.0,0.93,0.9,0.0,1.0,0.0,0.89,1.0,1.0,0.0
26074,Hervías,127,223,0.0,1.0,0.91,0.0,1.0,0.91,0.91,1.0,0.83,0.0
26075,Hormilla,443,349,0.35,0.13,0.95,0.0,1.0,0.89,0.87,1.0,0.3,0.0
26076,Hormilleja,132,192,0.0,1.0,0.96,0.0,1.0,0.0,0.95,1.0,1.0,0.0
26077,Hornillos de Cameros,23,23,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26078,Hornos de Moncalvillo,95,103,0.01,0.92,0.94,0.0,1.0,0.95,0.93,1.0,0.1,0.0
26079,Huércanos,860,605,0.13,0.97,0.95,0.0,1.0,0.89,0.91,1.0,0.81,0.0
26080,Igea,639,603,0.16,1.0,0.98,0.0,1.0,1.0,0.99,1.0,0.0,0.0
26081,Jalón de Cameros,22,33,0.0,0.7,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26082,Laguna de Cameros,109,145,0.0,0.48,0.99,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26083,Lagunilla del Jubera,334,322,0.0,0.93,0.88,0.0,1.0,0.89,0.89,0.99,0.95,0.0
26084,Lardero,11.094,6.602,0.06,1.0,0.86,0.53,1.0,0.87,0.83,1.0,1.0,0.22
26086,Ledesma de la Cogolla,16,55,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26087,Leiva,238,444,0.0,1.0,0.99,0.0,1.0,0.98,0.99,1.0,0.86,0.0
26088,Leza de Río Leza,40,44,0.0,1.0,0.93,0.0,1.0,0.0,0.0,0.99,0.0,0.0
26089,Logroño,150.020,78.648,0.11,1.0,0.99,0.82,1.0,0.99,0.99,1.0,1.0,0.99
26091,Lumbreras de Cameros,144,178,0.0,0.74,0.0,0.0,1.0,0.0,0.0,0.82,0.0,0.0
26092,Manjarrés,110,95,0.01,1.0,0.95,0.0,1.0,0.0,0.94,1.0,0.54,0.0
26093,Mansilla de la Sierra,52,82,0.0,0.85,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26094,Manzanares de Rioja,58,104,0.0,1.0,0.64,0.0,1.0,0.0,0.64,1.0,0.0,0.0
26095,Matute,93,198,0.0,1.0,0.98,0.0,1.0,0.97,0.97,1.0,0.01,0.0
26096,Medrano,339,320,0.0,1.0,0.9,0.0,1.0,0.9,0.9,1.0,1.0,0.0
26098,Munilla,109,322,0.0,0.31,0.62,0.0,1.0,0.6,0.62,0.96,0.0,0.0
26099,Murillo de Río Leza,1.609,1.219,0.11,1.0,0.96,0.0,1.0,0.98,0.97,1.0,0.0,0.0
26100,Muro de Aguas,63,140,0.0,0.89,0.0,0.0,0.93,0.0,0.0,0.9,0.9,0.0
26101,Muro en Cameros,35,75,0.0,0.92,0.0,0.0,0.89,0.0,0.0,0.93,0.0,0.0
26102,Nájera,8.069,4.835,0.11,1.0,0.97,0.0,1.0,0.97,0.95,1.0,0.28,0.0
26103,Nalda,1.210,1.102,0.25,1.0,0.79,0.0,1.0,0.79,0.8,1.0,1.0,0.0
26104,Navajún,9,47,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26105,Navarrete,3.016,1.773,0.19,1.0,0.99,0.0,1.0,0.98,0.98,1.0,1.0,0.98
26106,Nestares,87,78,0.0,0.99,0.86,0.0,1.0,0.83,0.79,1.0,0.93,0.0
26107,Nieva de Cameros,86,215,0.0,0.17,0.78,0.0,1.0,0.79,0.79,0.54,0.0,0.0
26108,Ocón,315,387,0.08,1.0,0.0,0.0,1.0,0.0,0.0,0.99,0.5,0.0
26109,Ochánduri,79,164,0.0,0.46,0.8,0.0,1.0,0.0,0.86,0.98,0.98,0.0
26110,Ojacastro,187,290,0.0,0.97,0.92,0.0,1.0,0.91,0.92,0.98,0.93,0.0
26111,Ollauri,311,365,0.15,1.0,0.99,0.0,1.0,0.83,0.83,1.0,1.0,0.02
26112,Ortigosa de Cameros,219,293,0.22,0.92,0.97,0.0,1.0,0.97,0.97,1.0,0.0,0.0
26113,Pazuengos,27,67,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26114,Pedroso,89,136,0.05,1.0,0.96,0.0,1.0,0.96,0.94,1.0,0.0,0.0
26115,Pinillos,21,26,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26117,Pradejón,3.853,1.481,0.05,0.88,0.97,0.0,1.0,0.98,0.98,1.0,0.96,0.0
26118,Pradillo,65,94,0.0,1.0,0.97,0.0,1.0,0.98,0.98,1.0,0.0,0.0
26119,Préjano,204,273,0.41,0.97,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26120,Quel,2.088,1.196,0.14,1.0,0.99,0.0,1.0,0.97,0.96,1.0,0.25,0.0
26121,Rabanera,31,47,0.0,0.38,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26122,El Rasillo de Cameros,145,279,0.07,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26123,El Redal,150,226,0.0,0.97,0.98,0.0,1.0,1.0,0.98,1.0,0.66,0.0
26124,Ribafrecha,1.027,714,0.13,1.0,0.96,0.0,1.0,0.96,0.94,1.0,0.0,0.0
26125,Rincón de Soto,3.942,1.919,0.13,1.0,0.97,0.0,1.0,0.98,0.98,1.0,0.98,0.0
26126,Robres del Castillo,26,57,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26127,Rodezno,212,374,0.29,0.92,0.94,0.0,1.0,0.95,0.96,1.0,0.88,0.0
26128,Sajazarra,124,232,0.0,0.98,0.99,0.0,1.0,0.94,0.97,1.0,0.22,0.0
26129,San Asensio,1.113,1.073,0.11,1.0,0.98,0.0,1.0,0.98,0.98,1.0,0.99,0.0
26130,San Millán de la Cogolla,216,244,0.0,0.84,0.98,0.0,1.0,0.97,0.96,0.88,0.0,0.0
26131,San Millán de Yécora,34,54,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26132,San Román de Cameros,126,199,0.33,0.79,0.73,0.0,0.99,0.0,0.0,0.98,0.0,0.0
26134,Santa Coloma,92,163,0.0,1.0,0.86,0.0,1.0,0.0,0.8,1.0,0.93,0.0
26135,Santa Engracia del Jubera,181,217,0.0,0.92,0.83,0.0,1.0,0.83,0.84,0.93,0.87,0.0
26136,Santa Eulalia Bajera,111,115,0.18,1.0,0.0,0.0,1.0,0.93,0.87,1.0,0.0,0.0
26138,Santo Domingo de la Calzada,6.242,4.787,0.08,1.0,0.94,0.0,1.0,0.87,0.91,1.0,1.0,0.7
26139,San Torcuato,69,166,0.0,1.0,0.96,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26140,Santurde de Rioja,277,395,0.16,0.99,0.98,0.0,0.99,0.95,0.98,1.0,0.92,0.0
26141,Santurdejo,100,238,0.18,1.0,0.92,0.0,1.0,0.95,0.95,1.0,0.0,0.0
26142,San Vicente de la Sonsierra,1.031,1.216,0.18,0.99,0.92,0.0,1.0,0.91,0.91,0.99,0.96,0.0
26143,Sojuela,570,825,0.01,1.0,0.93,0.0,1.0,0.5,0.93,0.98,0.98,0.0
26144,Sorzano,225,299,0.0,0.3,0.78,0.0,1.0,0.84,0.82,1.0,0.75,0.0
26145,Sotés,267,223,0.01,1.0,0.99,0.0,1.0,0.99,1.0,1.0,0.01,0.0
26146,Soto en Cameros,81,277,0.0,0.7,0.0,0.0,1.0,0.0,0.0,0.91,0.0,0.0
26147,Terroba,37,68,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26148,Tirgo,178,291,0.04,1.0,0.96,0.0,1.0,0.82,0.92,1.0,1.0,0.0
26149,Tobía,50,59,0.0,0.32,1.0,0.0,1.0,1.0,1.0,0.9,0.0,0.0
26150,Tormantos,114,230,0.0,1.0,0.94,0.0,1.0,0.0,0.92,1.0,1.0,0.0
26151,Torrecilla en Cameros,427,712,0.17,1.0,0.96,0.0,1.0,0.96,0.94,1.0,0.99,0.0
26152,Torrecilla sobre Alesanco,48,87,0.0,1.0,0.95,0.0,1.0,0.0,0.93,1.0,1.0,0.0
26153,Torre en Cameros,10,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.0,0.0
26154,Torremontalbo,9,15,0.0,1.0,0.87,0.0,1.0,0.0,0.0,1.0,1.0,0.0
26155,Treviana,144,327,0.0,1.0,0.93,0.0,1.0,0.94,0.92,1.0,0.0,0.0
26157,Tricio,371,385,0.05,0.99,0.85,0.0,1.0,0.85,0.76,1.0,0.52,0.0
26158,Tudelilla,320,363,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
26160,Uruñuela,984,718,0.27,0.97,0.99,0.0,1.0,0.91,0.98,1.0,0.83,0.0
26161,Valdemadera,13,62,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.47,0.0,0.0
26162,Valgañón,141,300,0.0,1.0,0.96,0.0,1.0,0.96,0.95,1.0,0.99,0.0
26163,Ventosa,205,167,0.01,0.56,0.95,0.0,1.0,0.99,1.0,1.0,0.0,0.0
26164,Ventrosa,53,126,0.0,0.99,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26165,Viguera,390,409,0.27,0.1,0.85,0.0,1.0,0.84,0.83,1.0,0.16,0.0
26166,Villalba de Rioja,162,137,0.0,1.0,0.95,0.0,1.0,0.95,0.94,0.65,0.0,0.0
26167,Villalobar de Rioja,67,174,0.0,1.0,0.97,0.0,1.0,0.0,0.0,1.0,0.01,0.0
26168,Villamediana de Iregua,8.745,5.209,0.05,1.0,0.92,0.59,1.0,0.9,0.89,1.0,1.0,0.92
26169,Villanueva de Cameros,72,127,0.0,1.0,0.99,0.0,1.0,0.99,0.98,1.0,0.0,0.0
26170,El Villar de Arnedo,593,352,0.67,0.64,0.99,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26171,Villar de Torre,162,199,0.0,1.0,0.96,0.0,1.0,0.0,0.95,1.0,0.0,0.0
26172,Villarejo,34,42,0.0,0.98,0.83,0.0,1.0,0.0,0.0,0.91,0.58,0.0
26173,Villarroya,5,34,0.0,0.44,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26174,Villarta-Quintana,136,176,0.0,0.88,0.89,0.0,1.0,0.98,0.89,1.0,0.17,0.0
26175,Villavelayo,40,191,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.43,0.0
26176,Villaverde de Rioja,55,88,0.0,1.0,0.99,0.0,1.0,0.98,0.97,1.0,0.0,0.0
26177,Villoslada de Cameros,351,359,0.09,0.99,0.0,0.0,0.99,0.98,0.98,1.0,0.0,0.0
26178,Viniegra de Abajo,79,159,0.16,0.74,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26179,Viniegra de Arriba,39,86,0.0,0.77,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
26180,Zarratón,258,432,0.0,1.0,0.69,0.0,1.0,0.97,0.99,1.0,0.03,0.0
26181,Zarzosa,12,15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.0,0.0
26183,Zorraquín,91,499,0.0,0.96,0.83,0.0,1.0,0.98,0.93,1.0,0.99,0.0
27001,Abadín,2.259,2.254,0.08,0.95,0.14,0.0,0.87,0.08,0.08,1.0,0.84,0.0
27002,Alfoz,1.585,1.421,0.02,0.92,0.78,0.0,0.96,0.18,0.77,1.0,0.28,0.0
27003,Antas de Ulla,1.918,2.158,0.12,0.85,0.81,0.0,0.96,0.0,0.08,0.99,0.89,0.0
27004,Baleira,1.158,1.016,0.08,0.85,0.17,0.0,0.57,0.17,0.16,0.99,0.24,0.0
27005,Barreiros,3.020,5.275,0.03,1.0,0.95,0.0,0.95,0.89,0.94,1.0,0.99,0.46
27006,Becerreá,2.755,2.650,0.05,0.93,0.64,0.0,0.91,0.67,0.66,1.0,0.13,0.0
27007,Begonte,2.951,2.147,0.1,0.94,0.77,0.0,0.95,0.27,0.58,1.0,0.76,0.0
27008,Bóveda,1.414,1.296,0.11,0.78,0.75,0.0,0.88,0.6,0.72,0.99,0.08,0.0
27009,Carballedo,2.065,2.399,0.07,0.78,0.41,0.0,0.87,0.13,0.16,0.98,0.06,0.0
27010,Castro de Rei,5.033,3.264,0.07,1.0,0.5,0.0,0.94,0.2,0.22,1.0,0.51,0.14
27011,Castroverde,2.592,1.950,0.16,0.81,0.48,0.0,0.86,0.55,0.5,0.97,0.45,0.0
27012,Cervantes,1.250,1.479,0.03,0.84,0.09,0.0,0.73,0.11,0.09,0.99,0.04,0.0
27013,Cervo,4.192,2.940,0.11,0.98,0.77,0.0,0.91,0.81,0.81,1.0,0.77,0.0
27014,O Corgo,3.429,2.264,0.08,0.97,0.37,0.0,0.87,0.5,0.4,1.0,0.68,0.01
27015,Cospeito,4.342,3.593,0.19,0.99,0.38,0.0,0.88,0.15,0.12,0.99,0.84,0.05
27016,Chantada,8.083,6.594,0.06,0.94,0.73,0.0,0.79,0.58,0.36,1.0,0.85,0.6
27017,Folgoso do Courel,985,1.886,0.02,0.74,0.13,0.0,0.7,0.14,0.15,0.96,0.0,0.0
27018,A Fonsagrada,3.265,3.427,0.1,0.86,0.29,0.0,0.75,0.26,0.22,1.0,0.57,0.0
27019,Foz,10.118,10.584,0.11,0.99,0.98,0.0,0.99,0.98,0.97,1.0,0.91,0.75
27020,Friol,3.627,2.892,0.05,0.78,0.12,0.0,0.91,0.14,0.13,0.96,0.59,0.0
27021,Xermade,1.768,1.573,0.22,0.8,0.04,0.0,0.74,0.04,0.04,0.99,0.03,0.0
27022,Guitiriz,5.328,3.739,0.08,0.88,0.42,0.0,0.9,0.39,0.37,1.0,0.73,0.0
27023,Guntín,2.627,2.007,0.06,0.96,0.09,0.0,0.95,0.1,0.09,0.98,0.77,0.05
27024,O Incio,1.536,2.211,0.01,0.91,0.21,0.0,0.78,0.05,0.24,1.0,0.53,0.0
27025,Xove,3.352,2.166,0.03,0.96,0.94,0.0,0.9,0.81,0.92,1.0,0.39,0.0
27026,Láncara,2.501,1.582,0.11,0.86,0.3,0.0,0.89,0.31,0.24,1.0,0.34,0.0
27027,Lourenzá,2.115,1.804,0.22,1.0,0.82,0.0,0.97,0.7,0.8,1.0,0.88,0.0
27028,Lugo,97.211,59.242,0.07,1.0,0.93,0.0,0.97,0.94,0.93,1.0,0.99,0.94
27029,Meira,1.742,1.191,0.24,0.98,0.83,0.0,0.97,0.73,0.82,1.0,0.18,0.0
27030,Mondoñedo,3.503,3.399,0.03,0.97,0.63,0.0,0.96,0.49,0.6,0.99,0.95,0.0
27031,Monforte de Lemos,18.081,13.686,0.08,0.97,0.78,0.0,0.86,0.74,0.24,1.0,0.97,0.31
27032,Monterroso,3.585,3.522,0.05,0.99,0.81,0.0,0.98,0.35,0.54,1.0,0.98,0.03
27033,Muras,606,870,0.08,0.62,0.1,0.0,0.72,0.1,0.08,0.98,0.0,0.0
27034,Navia de Suarna,997,1.331,0.09,0.81,0.25,0.0,0.59,0.23,0.22,0.98,0.23,0.0
27035,Negueira de Muñiz,228,284,0.0,0.91,0.14,0.0,0.24,0.14,0.14,1.0,0.0,0.0
27037,As Nogais,991,814,0.13,0.97,0.31,0.0,0.91,0.34,0.33,0.99,0.47,0.0
27038,Ourol,999,1.260,0.0,0.9,0.04,0.0,0.61,0.04,0.04,0.99,0.02,0.0
27039,Outeiro de Rei,5.296,3.125,0.04,0.94,0.85,0.0,0.92,0.41,0.68,1.0,0.86,0.06
27040,Palas de Rei,3.319,3.691,0.07,0.94,0.17,0.0,0.93,0.12,0.11,0.99,0.51,0.01
27041,Pantón,2.435,2.825,0.02,0.72,0.41,0.0,0.87,0.4,0.5,1.0,0.46,0.0
27042,Paradela,1.683,1.191,0.12,0.79,0.32,0.0,0.77,0.33,0.31,0.97,0.36,0.0
27043,O Páramo,1.322,861,0.0,0.96,0.06,0.0,0.91,0.07,0.04,1.0,0.85,0.0
27044,A Pastoriza,2.879,2.052,0.14,0.93,0.76,0.0,0.75,0.19,0.48,1.0,0.41,0.0
27045,Pedrafita do Cebreiro,936,808,0.13,0.98,0.17,0.0,0.83,0.18,0.15,1.0,0.2,0.0
27046,Pol,1.612,1.512,0.06,0.97,0.39,0.0,0.72,0.12,0.37,1.0,0.13,0.0
27047,A Pobra do Brollón,1.551,1.989,0.18,0.79,0.4,0.0,0.8,0.17,0.22,0.98,0.85,0.0
27048,A Pontenova,2.191,2.060,0.1,0.94,0.51,0.0,0.95,0.43,0.41,0.99,0.5,0.0
27049,Portomarín,1.352,928,0.28,0.79,0.3,0.0,0.86,0.31,0.31,0.98,0.68,0.0
27050,Quiroga,3.125,5.215,0.06,0.81,0.43,0.0,0.89,0.42,0.46,0.98,0.7,0.0
27051,Ribadeo,9.811,7.333,0.1,0.99,0.92,0.0,0.95,0.9,0.91,1.0,0.98,0.78
27052,Ribas de Sil,937,1.227,0.03,0.79,0.51,0.0,0.96,0.55,0.54,0.99,0.86,0.0
27053,Ribeira de Piquín,500,680,0.04,0.94,0.1,0.0,0.31,0.12,0.12,1.0,0.27,0.0
27054,Riotorto,1.187,1.019,0.08,0.98,0.66,0.0,0.55,0.15,0.15,1.0,0.01,0.0
27055,Samos,1.202,1.393,0.05,0.77,0.25,0.0,0.7,0.17,0.23,0.95,0.15,0.02
27056,Rábade,1.503,931,0.16,1.0,0.98,0.0,1.0,0.96,0.98,1.0,1.0,0.0
27057,Sarria,13.214,9.703,0.07,0.99,0.78,0.0,0.83,0.65,0.62,1.0,0.92,0.75
27058,O Saviñao,3.547,3.589,0.03,0.81,0.23,0.0,0.85,0.24,0.21,0.99,0.34,0.0
27059,Sober,2.213,3.318,0.06,0.96,0.44,0.0,0.95,0.27,0.5,1.0,0.94,0.0
27060,Taboada,2.646,2.733,0.1,0.91,0.44,0.0,0.93,0.34,0.17,0.99,0.64,0.35
27061,Trabada,1.107,962,0.08,0.85,0.19,0.0,0.77,0.13,0.16,1.0,0.32,0.0
27062,Triacastela,629,524,0.08,0.84,0.22,0.0,0.57,0.22,0.22,0.96,0.22,0.0
27063,O Valadouro,1.938,1.705,0.18,0.95,0.76,0.0,0.96,0.68,0.76,1.0,0.12,0.0
27064,O Vicedo,1.665,1.902,0.16,0.92,0.46,0.0,0.89,0.44,0.47,1.0,0.75,0.0
27065,Vilalba,13.881,9.165,0.12,0.91,0.7,0.0,0.76,0.52,0.51,0.99,0.9,0.44
27066,Viveiro,15.231,11.561,0.09,1.0,0.94,0.0,0.97,0.94,0.93,1.0,0.94,0.4
27901,Baralla,2.436,1.748,0.17,0.92,0.45,0.0,0.89,0.52,0.49,0.99,0.06,0.0
27902,Burela,9.430,5.413,0.08,1.0,1.0,0.0,1.0,0.99,0.99,1.0,1.0,0.85
28001,La Acebeda,62,169,0.02,0.67,0.8,0.0,0.9,0.8,0.8,1.0,0.14,0.0
28002,Ajalvir,4.751,1.850,0.19,0.6,1.0,0.0,1.0,1.0,1.0,1.0,0.91,0.0
28003,Alameda del Valle,241,416,0.01,0.55,0.96,0.0,0.99,0.97,0.97,1.0,0.97,0.0
28004,El Álamo,10.123,4.161,0.06,0.95,0.98,0.0,0.99,0.98,0.98,1.0,0.94,0.42
28005,Alcalá de Henares,196.888,80.276,0.12,1.0,1.0,0.83,0.99,0.99,0.99,1.0,1.0,0.87
28006,Alcobendas,117.041,41.772,0.13,1.0,0.99,0.73,0.99,0.99,0.99,1.0,1.0,0.97
28007,Alcorcón,170.296,70.770,0.13,1.0,1.0,0.28,1.0,1.0,1.0,1.0,1.0,0.96
28008,Aldea del Fresno,3.227,1.840,0.18,1.0,0.86,0.0,0.96,0.88,0.89,1.0,0.98,0.0
28009,Algete,20.767,7.230,0.12,0.99,0.98,0.0,0.99,0.99,0.98,1.0,0.81,0.7
28010,Alpedrete,15.006,6.973,0.0,1.0,0.99,0.0,1.0,0.99,0.99,1.0,1.0,0.43
28011,Ambite,648,787,0.17,1.0,0.82,0.0,0.99,0.96,0.94,1.0,1.0,0.0
28012,Anchuelo,1.354,624,0.2,1.0,0.97,0.0,1.0,0.97,0.96,1.0,1.0,0.0
28013,Aranjuez,59.762,24.683,0.1,0.96,0.98,0.0,0.99,0.97,0.87,1.0,0.99,0.56
28014,Arganda del Rey,57.553,22.154,0.11,0.99,0.99,0.4,0.99,0.97,0.94,1.0,1.0,0.84
28015,Arroyomolinos,34.833,12.267,0.18,0.99,1.0,0.53,0.99,0.99,0.99,1.0,0.96,0.4
28016,El Atazar,107,77,0.0,0.74,0.95,0.0,0.78,0.78,0.95,1.0,1.0,0.0
28017,Batres,1.823,846,0.21,0.48,0.92,0.0,0.99,0.98,0.97,0.99,0.4,0.0
28018,Becerril de la Sierra,6.197,3.851,0.01,0.98,0.99,0.0,0.99,0.99,0.99,1.0,1.0,0.04
28019,Belmonte de Tajo,1.769,1.027,0.15,0.99,0.97,0.0,0.99,0.9,0.9,1.0,0.0,0.0
28020,Berzosa del Lozoya,227,162,0.0,0.09,0.89,0.0,0.97,0.94,0.95,0.99,0.81,0.0
28021,El Berrueco,801,593,0.13,0.63,0.81,0.0,0.97,0.8,0.82,1.0,0.8,0.0
28022,Boadilla del Monte,62.627,20.729,0.21,1.0,0.94,0.0,0.97,0.93,0.95,1.0,1.0,0.28
28023,El Boalo,8.216,4.455,0.04,1.0,0.9,0.0,0.96,0.93,0.92,1.0,0.96,0.47
28024,Braojos,218,236,0.0,0.25,0.9,0.0,0.96,0.93,0.95,1.0,0.08,0.0
28025,Brea de Tajo,541,573,0.05,0.96,0.7,0.0,0.96,0.71,0.7,1.0,0.01,0.0
28026,Brunete,10.845,4.077,0.21,0.99,0.98,0.0,0.99,0.99,0.99,1.0,0.99,0.0
28027,Buitrago del Lozoya,1.948,1.059,0.12,1.0,0.97,0.0,0.99,0.96,0.98,1.0,1.0,0.0
28028,Bustarviejo,2.706,2.194,0.07,0.98,0.94,0.0,0.98,0.95,0.93,1.0,0.63,0.0
28029,Cabanillas de la Sierra,874,621,0.04,1.0,0.88,0.0,1.0,0.98,0.96,1.0,0.97,0.0
28030,La Cabrera,2.805,1.607,0.06,0.98,0.89,0.0,0.99,0.88,0.87,1.0,0.77,0.0
28031,Cadalso de los Vidrios,3.193,2.882,0.09,0.94,0.72,0.0,0.99,0.73,0.18,1.0,0.99,0.0
28032,Camarma de Esteruelas,7.595,2.973,0.16,0.85,0.99,0.0,0.99,0.98,0.99,1.0,0.98,0.01
28033,Campo Real,6.651,2.982,0.07,0.97,0.95,0.0,0.97,0.94,0.94,1.0,0.96,0.0
28034,Canencia,455,568,0.12,0.71,0.91,0.0,0.96,0.92,0.92,1.0,0.99,0.0
28035,Carabaña,2.210,1.690,0.17,0.97,0.86,0.0,0.97,0.81,0.0,1.0,0.99,0.0
