cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,total_population
31210,roncal/erronkari,navarra,40,12,52,100,226,430
31211,orreaga/roncesvalles,navarra,4,0,4,6,26,40
31212,sada,navarra,24,6,18,60,160,268
31213,saldias,navarra,52,10,24,72,88,246
31214,salinas,navarra,40,16,16,56,96,224
31215,san,navarra,2410,928,1368,3854,4424,12984
31216,sanguesa/zangoza,navarra,1382,834,966,2610,3960,9752
31217,san,navarra,70,22,58,192,394,736
31219,sansol,navarra,10,6,18,38,110,182
31220,santacara,navarra,206,108,182,414,808,1718
31221,doneztebe/santesteban,navarra,738,296,438,1054,1182,3708
31222,sarries/sartze,navarra,14,2,8,14,82,120
31223,sartaguda,navarra,446,156,290,748,1032,2672
31224,sesma,navarra,466,200,256,556,1016,2494
31225,sorlada,navarra,12,8,6,24,36,86
31226,sunbilla,navarra,246,78,90,442,532,1388
31227,tafalla,navarra,3272,1764,2350,5922,8270,21578
31228,tiebas-muruarte,navarra,186,108,126,422,476,1318
31229,tirapu,navarra,10,2,2,34,54,102
31230,torralba,navarra,24,8,16,62,86,196
31231,torres,navarra,14,22,12,52,128,228
31232,tudela,navarra,14334,6070,8682,23220,24576,76882
31233,tulebras,navarra,46,16,24,90,136,312
