cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,total_population
42175,suellacabras,soria,4,4,10,24,24,66
42176,tajahuerce,soria,0,0,0,10,36,46
42177,tajueco,soria,2,6,6,26,74,114
42178,talveila,soria,2,8,10,40,148,208
42181,tardelcuende,soria,86,28,52,192,490,848
42182,taroda,soria,2,10,0,20,62,94
42183,tejado,soria,2,8,10,40,134,194
42184,torlengua,soria,0,4,6,26,54,90
42185,torreblacos,soria,0,2,0,6,44,52
42187,torrubia,soria,0,6,8,38,60,112
42188,trevago,soria,4,4,6,22,58,94
42189,ucero,soria,32,6,22,58,70,188
42190,vadillo,soria,0,12,14,30,112,168
42191,valdeavellano,soria,40,10,28,112,248,438
42192,valdegena,soria,0,4,6,10,54,74
42193,valdelagua,soria,4,4,0,2,16,26
42194,valdemaluque,soria,10,8,24,48,184,274
42195,valdenebro,soria,14,8,18,34,116,190
42196,valdeprado,soria,0,0,4,2,10,16
42197,valderrodilla,soria,2,2,8,28,84,124
42198,valtajeros,soria,4,0,2,6,26,38
42200,velamazan,soria,2,0,6,32,94,134
42201,velilla,soria,0,0,4,8,42,54
42202,velilla,soria,0,0,0,4,26,30
42204,viana,soria,0,2,8,26,62,98
42205,villaciervos,soria,2,2,12,46,110,172
42206,villanueva,soria,0,0,0,2,14,16
42207,villar,soria,4,16,12,12,56,100
42208,villar,soria,0,0,0,22,38,60
42209,villar,soria,18,4,30,68,196,316
42211,villares,soria,10,4,8,50,82,154
42212,villasayas,soria,14,2,2,40,62,120
42213,villaseca,soria,4,0,2,10,32,48
42215,vinuesa,soria,186,86,178,452,764,1666
42216,vizmanos,soria,8,0,4,20,28,60
42217,vozmediano,soria,2,8,0,12,44,66
42218,yanguas,soria,38,14,16,62,82,212
42219,yelo,soria,0,0,2,18,54,74
43001,aiguamurcia,tarragona,280,126,180,574,770,1930
43002,albinyana,tarragona,882,412,544,1696,1822,5356
43003,"albiol,",tarragona,268,68,88,368,284,1076
43004,alcanar,tarragona,3278,1308,1964,5920,7272,19742
43005,alcover,tarragona,1986,780,1104,3266,3532,10668
43006,aldover,tarragona,248,118,116,566,746,1794
43007,"aleixar,",tarragona,350,152,218,612,628,1960
43008,alfara,tarragona,84,46,50,248,298,726
43009,alforja,tarragona,628,238,444,1244,1500,4054
43010,alio,tarragona,220,44,86,308,354,1012
43011,almoster,tarragona,448,254,262,758,954,2676
43012,altafulla,tarragona,2276,850,948,3516,4028,11618
43013,ametlla,tarragona,2234,1142,1284,4186,5848,14694
43014,amposta,tarragona,8450,3748,5020,13700,14328,45246
43015,arboli,tarragona,24,2,28,106,98,258
43016,"arboç,",tarragona,2418,970,1242,3494,3366,11490
43017,"argentera,",tarragona,12,10,30,74,132,258
43018,arnes,tarragona,112,44,80,218,472,926
43019,asco,tarragona,478,178,368,856,1338,3218
43020,banyeres,tarragona,1244,564,560,2240,2072,6680
43021,barberà,tarragona,126,74,72,330,358,960
43022,batea,tarragona,606,204,384,944,1624,3762
43023,bellmunt,tarragona,68,42,54,158,266,588
43024,bellvei,tarragona,894,420,526,1558,1420,4818
43025,benifallet,tarragona,128,84,156,346,734,1448
43026,benissanet,tarragona,334,166,252,766,866,2384
43027,bisbal,tarragona,36,26,30,98,224,414
43028,bisbal,tarragona,1394,594,878,2668,2832,8366
43029,blancafort,tarragona,92,50,96,230,318,786
43030,bonastre,tarragona,294,92,136,484,518,1524
43031,borges,tarragona,840,406,424,1376,1466,4512
43032,bot,tarragona,122,74,80,278,550,1104
43033,botarell,tarragona,430,194,228,768,720,2340
43034,bràfim,tarragona,256,94,114,446,484,1394
43035,cabaces,tarragona,60,42,72,148,280,602
43036,cabra,tarragona,420,246,302,866,816,2650
43037,calafell,tarragona,10572,4614,6608,19468,21872,63134
43038,cambrils,tarragona,13936,5672,7072,23526,23166,73372
43039,capafonts,tarragona,8,12,24,70,98,212
43040,capçanes,tarragona,122,48,68,266,348,852
43041,caseres,tarragona,48,26,54,94,258,480
43042,castellvell,tarragona,1108,578,568,1702,2026,5982
43043,"catllar,",tarragona,2180,718,966,3430,3136,10430
43044,"senia,",tarragona,1782,892,1026,3426,4110,11236
43045,colldejou,tarragona,42,20,20,106,134,322
43046,conesa,tarragona,26,10,30,58,102,226
43047,constanti,tarragona,3056,1100,1634,4324,3728,13842
43048,corbera,tarragona,254,146,204,548,880,2032
43049,cornudella,tarragona,256,130,230,676,774,2066
43050,creixell,tarragona,1444,516,806,2388,3184,8338
43051,cunit,tarragona,5272,2314,3140,9642,11132,31500
43052,xerta,tarragona,294,168,218,588,1038,2306
43053,duesaigues,tarragona,48,22,60,116,200,446
43054,espluga,tarragona,1182,518,862,2238,2900,7700
43055,falset,tarragona,986,470,504,1672,2118,5750
43056,"fatarella,",tarragona,174,100,116,346,976,1712
43057,"febro,",tarragona,0,0,6,26,40,72
43058,"figuera,",tarragona,22,14,22,68,120,246
43059,figuerola,tarragona,92,72,64,202,262,692
43060,flix,tarragona,812,426,628,1666,3114,6646
43061,fores,tarragona,2,6,2,26,44,80
43062,freginals,tarragona,114,62,70,214,390,850
43063,"galera,",tarragona,202,74,120,438,600,1434
43064,gandesa,tarragona,1116,448,650,1854,2252,6320
43065,garcia,tarragona,158,68,86,310,458,1080
43066,"garidells,",tarragona,50,20,52,112,174,408
43067,ginestar,tarragona,180,96,120,422,782,1600
43068,godall,tarragona,144,68,148,310,572,1242
43069,gratallops,tarragona,44,30,36,138,216,464
43070,"guiamets,",tarragona,42,16,42,132,280,512
43071,horta,tarragona,288,140,186,678,1022,2314
43072,"lloar,",tarragona,26,10,18,48,98,200
43073,llorac,tarragona,24,6,24,58,92,204
43074,llorenç,tarragona,822,382,490,1310,1840,4844
43075,margalef,tarragona,6,4,26,56,124,216
43076,marçà,tarragona,182,86,124,352,454,1198
43077,mas,tarragona,112,74,68,332,506,1092
43078,masdenverge,tarragona,342,162,230,676,888,2298
43079,masllorenç,tarragona,150,86,98,372,428,1134
43080,"maso,",tarragona,100,34,38,192,212,576
43081,maspujols,tarragona,362,132,182,656,454,1786
43082,"masroig,",tarragona,128,76,88,304,364,960
43083,"milà,",tarragona,72,26,38,108,150,394
43084,miravet,tarragona,198,90,108,388,582,1366
43085,"molar,",tarragona,76,36,64,166,274,616
43086,montblanc,tarragona,2602,1148,1504,4538,5286,15078
43088,montbrio,tarragona,1352,352,682,2168,1720,6274
43089,montferri,tarragona,170,68,124,290,294,946
43090,"montmell,",tarragona,672,256,400,1192,1312,3832
43091,mont-ral,tarragona,56,12,36,118,148,370
43092,mont-roig,tarragona,4948,1916,2938,9148,9420,28370
43093,mora,tarragona,2014,828,1274,3208,4154,11478
43094,mora,tarragona,1136,544,712,1830,2396,6618
43095,"morell,",tarragona,1540,596,912,2660,1994,7702
43096,morera,tarragona,34,14,36,98,106,288
43097,nou,tarragona,280,128,80,390,344,1222
43098,nulles,tarragona,252,70,102,374,316,1114
43099,palma,tarragona,58,26,84,150,352,670
43100,"pallaresos,",tarragona,2164,1058,816,3328,2670,10036
43101,passanant,tarragona,16,14,10,74,210,324
43102,pauls,tarragona,154,44,80,274,534,1086
43103,perafort,tarragona,546,242,280,960,610,2638
43104,"perello,",tarragona,960,350,520,1710,2326,5866
43105,"piles,",tarragona,100,24,34,128,174,460
43106,pinell,tarragona,266,174,190,474,846,1950
43107,pira,tarragona,180,78,98,314,328,998
43108,pla,tarragona,822,356,568,1324,1712,4782
43109,pobla,tarragona,1990,608,1082,3018,1556,8254
43110,pobla,tarragona,88,42,86,164,308,688
43111,pobla,tarragona,1174,476,704,2210,2150,6714
43112,poboleda,tarragona,88,24,58,218,278,666
43113,pont,tarragona,124,54,100,264,454,996
43114,porrera,tarragona,96,28,120,222,368,834
43115,pradell,tarragona,40,26,26,82,182,356
43116,prades,tarragona,168,86,126,416,546,1342
43117,prat,tarragona,54,42,30,98,152,376
43118,pratdip,tarragona,206,104,134,440,642,1526
43119,puigpelat,tarragona,492,214,214,822,674,2416
43120,querol,tarragona,132,46,124,366,522,1190
43121,rasquera,tarragona,206,78,132,400,776,1592
43122,renau,tarragona,86,18,14,128,70,316
43123,reus,tarragona,42136,18334,24906,64384,70162,219922
43124,"riba,",tarragona,152,76,130,278,500,1136
43125,riba-roja,tarragona,244,100,176,566,1166,2252
43126,riera,tarragona,826,302,268,1222,994,3612
43127,riudecanyes,tarragona,500,214,312,902,790,2718
43128,riudecols,tarragona,400,160,332,764,840,2496
43129,riudoms,tarragona,2582,1106,1556,4058,4606,13908
43130,rocafort,tarragona,78,24,44,136,210,492
43131,roda,tarragona,2736,1156,1572,4954,5636,16054
43132,rodonyà,tarragona,152,84,124,270,414,1044
43133,roquetes,tarragona,3072,1298,1792,5166,5420,16748
43134,"rourell,",tarragona,138,56,80,272,260,806
43135,salomo,tarragona,194,78,106,284,398,1060
43136,"ràpita,",tarragona,4766,2376,3134,9368,11960,31604
43137,sant,tarragona,1114,410,472,1868,1748,5612
43138,santa,tarragona,1308,594,764,2162,2810,7638
43139,santa,tarragona,974,558,566,1510,2038,5646
43140,santa,tarragona,1494,540,678,2296,2350,7358
43141,pontils,tarragona,44,0,26,72,104,246
43142,sarral,tarragona,546,244,334,896,1156,3176
43143,savallà,tarragona,2,6,16,20,52,96
43144,"secuita,",tarragona,726,220,394,1234,1082,3656
43145,selva,tarragona,2168,1010,1312,3384,3804,11678
43146,senan,tarragona,10,6,20,20,36,92
43147,solivella,tarragona,174,96,128,324,532,1254
43148,tarragona,tarragona,49988,23216,33806,83260,91766,282036
43149,tivenys,tarragona,230,132,196,506,810,1874
43150,tivissa,tarragona,426,182,336,946,1358,3248
43151,torre,tarragona,36,16,12,70,104,238
43152,torre,tarragona,184,92,104,356,524,1260
43153,torredembarra,tarragona,5974,2720,3696,10658,12858,35906
43154,torroja,tarragona,26,10,20,82,136,274
43155,tortosa,tarragona,12746,5718,8008,20404,24150,71026
43156,ulldecona,tarragona,2266,964,1436,3974,4556,13196
43157,ulldemolins,tarragona,72,42,50,208,456,828
43158,vallclara,tarragona,22,16,16,54,70,178
43159,vallfogona,tarragona,6,10,16,42,122,196
43160,vallmoll,tarragona,766,274,388,1234,1212,3874
43161,valls,tarragona,9094,4094,5434,14782,16766,50170
43162,vandellòs,tarragona,2718,978,1434,4530,4504,14164
43163,"vendrell,",tarragona,14620,6108,8504,24568,27252,81052
43164,vespella,tarragona,168,50,70,330,390,1008
43165,vilabella,tarragona,214,106,132,376,622,1450
43166,vilallonga,tarragona,1138,280,536,1748,1222,4924
43167,vilanova,tarragona,196,102,78,378,468,1222
43168,vilanova,tarragona,22,22,10,76,90,220
43169,vilaplana,tarragona,158,50,122,314,476,1120
43170,vila-rodona,tarragona,534,152,290,860,922,2758
43171,vila-seca,tarragona,9708,3500,5272,16648,12994,48122
43172,vilaverd,tarragona,124,86,74,340,316,940
43173,vilella,tarragona,40,22,22,78,98,260
43174,vilella,tarragona,56,36,40,120,160,412
43175,vilalba,tarragona,162,70,112,322,562,1228
43176,vimbodi,tarragona,230,124,114,470,848,1786
43177,vinebre,tarragona,132,54,86,236,344,852
43178,vinyols,tarragona,944,346,578,1546,1436,4850
43901,deltebre,tarragona,3796,1718,2362,7184,8822,23882
43902,sant,tarragona,1116,568,714,2070,2874,7342
43903,camarles,tarragona,1040,502,732,1990,2592,6856
43904,"aldea,",tarragona,1544,652,1156,2780,2976,9108
43905,salou,tarragona,10984,4576,7238,21054,17032,60884
43906,"ampolla,",tarragona,984,452,720,2158,3070,7384
43907,"canonja,",tarragona,2264,956,1364,3680,3608,11872
44001,ababuj,teruel,18,8,14,46,64,150
44002,abejuela,teruel,6,10,4,34,60,114
44003,aguaton,teruel,2,0,0,10,22,34
44004,aguaviva,teruel,176,80,118,262,458,1094
44005,aguilar,teruel,20,12,38,30,62,162
44006,alacon,teruel,20,10,36,62,288,416
44007,alba,teruel,34,12,24,90,214,374
44008,albalate,teruel,548,244,450,912,1714,3868
44009,albarracin,teruel,258,162,246,530,814,2010
44010,albentosa,teruel,108,54,52,190,190,594
44011,alcaine,teruel,4,0,4,18,50,76
44012,alcala,teruel,80,50,72,188,366,756
44013,alcaniz,teruel,6260,2506,3092,9648,10868,32374
44014,alcorisa,teruel,1150,470,614,1718,2500,6452
44016,alfambra,teruel,102,42,98,232,498,972
44017,aliaga,teruel,74,28,78,178,334,692
44018,almohaja,teruel,0,0,0,6,18,24
44019,alobras,teruel,2,12,16,36,72,138
44020,alpenes,teruel,4,0,8,8,32,52
44021,allepuz,teruel,28,18,18,52,132,248
44022,alloza,teruel,134,56,88,254,570,1102
44023,allueva,teruel,10,4,0,20,26,60
44024,anadon,teruel,0,4,6,24,34,68
44025,andorra,teruel,2242,1034,1358,4028,5806,14468
44026,arcos,teruel,34,12,30,56,88,220
44027,arens,teruel,24,22,30,74,242,392
44028,argente,teruel,46,16,40,76,224,402
44029,arino,teruel,144,74,128,354,594,1294
44031,azaila,teruel,16,2,24,34,110,186
44032,badenas,teruel,6,2,2,20,18,48
44033,baguena,teruel,54,26,42,152,324,598
44034,banon,teruel,34,12,20,94,150,310
44035,barrachina,teruel,22,4,24,62,118,230
44036,bea,teruel,6,6,0,8,32,52
44037,beceite,teruel,134,74,110,280,526,1124
44038,belmonte,teruel,30,26,22,36,156,270
44039,bello,teruel,30,24,34,94,244,426
44040,berge,teruel,56,40,32,138,170,436
44041,bezas,teruel,12,12,18,40,54,136
44042,blancas,teruel,24,14,32,40,158,268
44043,blesa,teruel,0,0,12,28,112,152
44044,bordon,teruel,36,16,12,66,96,226
44045,bronchales,teruel,120,48,88,310,358,924
44046,buena,teruel,14,8,6,26,58,112
44047,burbaguena,teruel,96,52,84,152,320,704
44048,cabra,teruel,6,4,22,24,76,132
44049,calaceite,teruel,252,90,160,448,968,1918
44050,calamocha,teruel,1560,728,1038,2534,3172,9032
44051,calanda,teruel,1188,508,800,2060,2828,7384
44052,calomarde,teruel,2,4,10,42,90,148
44053,camanas,teruel,34,16,22,86,98,256
44054,camarena,teruel,50,4,32,88,110,284
44055,camarillas,teruel,26,18,28,74,94,240
44056,caminreal,teruel,178,80,112,332,532,1234
44059,cantavieja,teruel,224,94,154,416,546,1434
44060,canada,teruel,4,2,8,18,46,78
44061,canada,teruel,4,22,10,44,80,160
44062,canada,teruel,4,2,0,18,52,76
44063,canizar,teruel,40,12,30,52,86,220
44064,cascante,teruel,4,4,4,36,82,130
44065,castejon,teruel,4,8,6,36,78,132
44066,castel,teruel,18,6,14,32,98,168
44067,castelnou,teruel,22,10,16,56,100,204
44068,castelseras,teruel,246,104,128,412,714,1604
44070,"castellar,",teruel,0,4,18,18,72,112
44071,castellote,teruel,126,48,126,312,710,1322
44074,cedrillas,teruel,210,96,144,366,474,1290
44075,celadas,teruel,30,58,96,140,334,658
44076,cella,teruel,782,350,552,1454,2190,5328
44077,"cerollera,",teruel,10,12,14,48,70,154
44080,"codonera,",teruel,90,36,66,166,284,642
44082,corbalan,teruel,40,18,18,70,90,236
44084,cortes,teruel,10,2,16,30,72,130
44085,cosa,teruel,6,6,12,36,64,124
44086,cretas,teruel,176,50,92,310,504,1132
44087,crivillen,teruel,18,12,16,44,92,182
44088,"cuba,",teruel,24,2,12,20,42,100
44089,cubla,teruel,10,6,26,30,44,116
44090,cucalon,teruel,12,4,8,54,80,158
44092,"cuervo,",teruel,14,6,14,50,106,190
44093,cuevas,teruel,38,16,28,46,102,230
44094,cuevas,teruel,20,8,22,82,140,272
44096,ejulve,teruel,32,18,64,68,162,344
44097,escorihuela,teruel,24,2,36,74,146,282
44099,escucha,teruel,254,96,200,440,564,1554
44100,estercuel,teruel,38,14,72,98,184,406
44101,ferreruela,teruel,18,8,6,58,62,152
44102,fonfria,teruel,8,0,8,22,32,70
44103,formiche,teruel,32,22,46,70,150,320
44105,fornoles,teruel,6,2,18,32,86,144
44106,fortanete,teruel,70,44,66,98,154,432
44107,foz-calanda,teruel,90,36,72,152,216,566
44108,"fresneda,",teruel,108,70,86,242,406,912
44109,frias,teruel,28,16,16,62,102,224
44110,fuenferrada,teruel,0,0,0,8,62,70
44111,fuentes,teruel,10,2,26,34,100,172
44112,fuentes,teruel,98,32,74,188,474,866
44113,fuentes,teruel,78,12,38,94,88,310
44114,fuentespalda,teruel,54,28,68,142,294,586
44115,galve,teruel,42,22,36,66,122,288
44116,gargallo,teruel,12,16,12,50,84,174
44117,gea,teruel,80,38,100,240,474,932
44118,"ginebrosa,",teruel,58,24,32,100,176,390
44119,griegos,teruel,20,10,42,56,158,286
44120,guadalaviar,teruel,46,30,70,108,232,486
44121,gudar,teruel,28,8,16,50,46,148
44122,hijar,teruel,560,290,364,808,1468,3490
44123,hinojosa,teruel,4,4,14,48,128,198
44124,hoz,teruel,20,6,14,46,88,174
44125,huesa,teruel,0,2,4,22,86,114
44126,iglesuela,teruel,90,56,66,204,336,752
44127,jabaloyas,teruel,2,4,10,42,66,124
44128,jarque,teruel,8,4,6,26,80,124
44129,jatiel,teruel,4,8,14,22,50,98
44130,jorcas,teruel,8,4,8,20,38,78
44131,josa,teruel,2,0,8,24,36,70
44132,lagueruela,teruel,14,4,14,42,64,138
44133,lanzuela,teruel,6,0,8,8,26,48
44135,libros,teruel,8,6,26,54,110,204
44136,lidon,teruel,0,4,6,34,68,112
44137,linares,teruel,56,16,50,154,192,468
44138,loscos,teruel,6,12,22,42,144,226
44141,lledo,teruel,28,6,34,64,182,314
44142,maicas,teruel,0,0,6,12,52,70
44143,manzanera,teruel,146,76,152,296,402,1072
44144,martin,teruel,88,64,76,156,354,738
44145,mas,teruel,298,128,244,628,1150,2448
44146,mata,teruel,86,42,86,160,176,550
44147,mazaleon,teruel,122,68,114,202,456,962
44148,mezquita,teruel,18,4,24,34,82,162
44149,mirambel,teruel,32,2,20,70,90,214
44150,miravete,teruel,6,6,12,8,32,64
44151,molinos,teruel,44,22,52,92,246,456
44152,monforte,teruel,6,2,18,38,86,150
44153,monreal,teruel,1046,352,560,1378,1744,5080
44154,monroyo,teruel,100,22,86,174,244,626
44155,montalban,teruel,280,136,244,564,1106,2330
44156,monteagudo,teruel,2,6,8,16,54,86
44157,monterde,teruel,2,2,10,30,72,116
44158,mora,teruel,550,202,448,862,1168,3230
44159,moscardon,teruel,20,12,4,38,48,122
44160,mosqueruela,teruel,174,70,110,254,478,1086
44161,muniesa,teruel,164,84,112,230,556,1146
44163,noguera,teruel,34,14,28,66,118,260
44164,nogueras,teruel,2,8,6,12,36,64
44165,nogueruelas,teruel,60,12,48,96,172,388
44167,obon,teruel,0,0,6,12,44,62
44168,odon,teruel,32,20,38,88,218,396
44169,ojos,teruel,88,38,54,156,320,656
44171,olba,teruel,124,28,26,222,186,586
44172,oliete,teruel,74,40,68,176,384,742
44173,"olmos,",teruel,22,20,24,58,112,236
44174,orihuela,teruel,88,48,124,216,440,916
44175,orrios,teruel,2,6,30,62,142,242
44176,palomar,teruel,20,10,32,94,164,320
44177,pancrudo,teruel,24,10,12,66,114,226
44178,parras,teruel,2,4,2,38,64,110
44179,penarroya,teruel,146,66,108,214,382,916
44180,peracense,teruel,16,10,8,40,72,146
44181,peralejos,teruel,24,14,18,40,82,178
44182,perales,teruel,82,28,94,112,232,548
44183,pitarque,teruel,2,8,14,16,82,122
44184,plou,teruel,0,0,2,28,62,92
44185,"pobo,",teruel,20,4,12,60,100,196
44187,"portellada,",teruel,68,6,40,122,246,482
44189,pozondon,teruel,0,0,6,44,58,108
44190,pozuel,teruel,8,0,24,22,80,134
44191,puebla,teruel,282,112,202,472,794,1862
44192,puebla,teruel,116,66,110,276,364,932
44193,puertomingalvo,teruel,52,8,32,82,106,280
44194,rafales,teruel,56,6,18,78,150,308
44195,rillo,teruel,14,8,22,66,90,200
44196,riodeva,teruel,14,12,20,64,132,242
44197,rodenas,teruel,6,2,14,26,74,122
44198,royuela,teruel,46,42,40,108,214,450
44199,rubiales,teruel,4,10,6,22,44,86
44200,rubielos,teruel,0,0,4,10,38,52
44201,rubielos,teruel,168,84,168,332,490,1242
44203,salcedillo,teruel,0,0,4,8,14,26
44204,saldon,teruel,8,2,2,10,30,52
44205,samper,teruel,128,120,130,374,710,1462
44206,san,teruel,20,12,28,72,142,274
44207,san,teruel,14,8,22,42,184,270
44208,santa,teruel,0,0,2,8,38,48
44209,santa,teruel,246,130,250,482,928,2036
44210,sarrion,teruel,514,164,282,670,800,2430
44211,segura,teruel,8,4,2,22,60,96
44212,seno,teruel,2,2,6,22,44,76
44213,singra,teruel,2,14,20,34,80,150
44215,terriente,teruel,44,14,48,92,218,416
44216,teruel,teruel,12882,5498,7796,20714,26040,72930
44217,toril,teruel,0,6,12,12,38,68
44218,tormon,teruel,0,0,2,22,38,62
44219,tornos,teruel,26,16,24,88,206,360
44220,torralba,teruel,26,26,34,76,130,292
44221,torrecilla,teruel,92,40,104,180,460,876
44222,torrecilla,teruel,8,4,16,48,158,234
44223,torre,teruel,6,8,16,46,88,164
44224,torre,teruel,2,2,6,6,24,40
44225,torre,teruel,16,8,20,48,148,240
44226,torrelacarcel,teruel,16,8,14,70,154,262
44227,torre,teruel,10,14,12,36,88,160
44228,torremocha,teruel,16,20,14,58,98,206
44229,torres,teruel,60,32,42,96,152,382
44230,torrevelilla,teruel,50,16,30,84,182,362
44231,torrijas,teruel,10,4,6,28,24,72
44232,torrijo,teruel,152,46,92,246,464,1000
44234,tramacastiel,teruel,2,6,8,24,76,116
44235,tramacastilla,teruel,30,16,24,60,124,254
44236,tronchon,teruel,6,6,8,28,72,120
44237,urrea,teruel,100,52,66,226,434,878
44238,utrillas,teruel,996,448,680,1792,2286,6202
44239,valacloche,teruel,6,2,8,14,34,64
44240,valbona,teruel,30,22,28,106,198,384
44241,valdealgorfa,teruel,144,56,86,272,604,1162
44243,valdecuenca,teruel,6,2,4,22,22,56
44244,valdelinares,teruel,10,18,22,42,58,150
44245,valdeltormo,teruel,92,28,44,172,274,610
44246,valderrobres,teruel,860,380,516,1518,1774,5048
44247,valjunquera,teruel,80,50,62,150,314,656
44249,"vallecillo,",teruel,2,4,4,20,44,74
44250,veguillas,teruel,0,2,4,18,24,48
44251,villafranca,teruel,62,44,64,152,268,590
44252,villahermosa,teruel,24,8,6,62,86,186
44256,villanueva,teruel,6,8,8,28,46,96
44257,villar,teruel,18,22,30,80,172,322
44258,villar,teruel,4,4,10,28,62,108
44260,villarluengo,teruel,36,12,24,106,152,330
44261,villarquemado,teruel,214,94,170,492,772,1742
44262,villarroya,teruel,46,22,30,94,136,328
44263,villastar,teruel,230,68,126,366,306,1096
44264,villel,teruel,108,36,94,204,234,676
44265,vinaceite,teruel,24,28,46,82,180,360
44266,visiedo,teruel,26,16,20,38,162,262
44267,vivel,teruel,4,4,6,34,78,126
44268,"zoma,",teruel,0,2,8,10,34,54
45001,ajofrin,toledo,870,298,418,1382,1760,4728
45002,alameda,toledo,1752,602,1058,2630,2430,8472
45003,albarreal,toledo,240,98,148,478,554,1518
45004,alcabon,toledo,280,108,166,416,560,1530
45005,alcanizo,toledo,46,38,32,142,294,552
45006,alcaudete,toledo,432,224,332,782,1588,3358
45007,alcolea,toledo,230,106,206,446,674,1662
45008,aldea,toledo,38,26,52,108,190,414
45009,aldeanueva,toledo,66,50,64,198,550,928
45010,aldeanueva,toledo,76,22,30,184,502,814
45011,almendral,toledo,78,52,44,122,396,692
45012,almonacid,toledo,258,110,284,590,716,1958
45013,almorox,toledo,822,312,486,1438,1910,4968
45014,anover,toledo,1832,836,1122,3210,3750,10750
45015,arcicollar,toledo,370,162,226,680,730,2168
45016,arges,toledo,3236,1246,1368,4926,3354,14130
45017,azutan,toledo,60,16,52,116,336,580
45018,barcience,toledo,538,190,182,834,414,2158
45019,bargas,toledo,4398,1556,2494,7350,6466,22264
45020,belvis,toledo,302,170,270,696,1422,2860
45021,borox,toledo,1568,656,1112,2884,2370,8590
45022,buenaventura,toledo,40,28,60,160,464,752
45023,burguillos,toledo,1722,598,766,2726,1676,7488
45024,burujon,toledo,480,196,274,744,964,2658
45025,cabanas,toledo,806,372,522,1364,1206,4270
45026,cabanas,toledo,90,26,66,184,246,612
45027,cabezamesada,toledo,58,18,54,196,364,690
45028,calera,toledo,1696,622,958,2924,3336,9536
45029,caleruela,toledo,24,22,46,84,226,402
45030,calzada,toledo,68,68,136,266,498,1036
45031,camarena,toledo,1832,660,1006,3032,2738,9268
45032,camarenilla,toledo,154,66,104,348,538,1210
45033,campillo,toledo,62,16,68,170,334,650
45034,camunas,toledo,612,234,362,926,1364,3498
45035,cardiel,toledo,82,46,66,216,374,784
45036,carmena,toledo,200,118,208,426,746,1698
45037,carpio,toledo,458,256,360,940,1726,3740
45038,carranque,toledo,2332,878,890,4176,2562,10838
45039,carriches,toledo,90,24,58,146,222,540
45040,casar,toledo,714,320,482,1290,1440,4246
45041,casarrubios,toledo,2836,1070,1592,5092,3758,14348
45042,casasbuenas,toledo,30,10,42,94,210,386
45043,castillo,toledo,178,96,238,398,964,1874
45045,cazalegas,toledo,752,322,420,1304,1448,4246
45046,cebolla,toledo,1172,534,664,1798,2308,6476
45047,cedillo,toledo,1966,620,958,3234,2074,8852
45048,"cerralbos,",toledo,88,48,76,174,480,866
45049,cervera,toledo,136,68,80,338,372,994
45050,ciruelos,toledo,236,110,168,478,412,1404
45051,cobeja,toledo,1104,448,728,1680,1374,5334
45052,cobisa,toledo,1688,1118,786,2780,2648,9020
45053,consuegra,toledo,3280,1474,1996,5376,7466,19592
45054,corral,toledo,1782,814,1102,3010,3950,10658
45055,cuerva,toledo,362,194,246,718,1040,2560
45056,chozas,toledo,2330,936,1064,3350,2044,9724
45057,chueca,toledo,66,42,50,114,226,498
45058,domingo,toledo,82,48,46,200,416,792
45059,dosbarrios,toledo,792,344,494,1270,1572,4472
45060,erustes,toledo,82,34,24,146,174,460
45061,escalona,toledo,1168,552,754,2270,2870,7614
45062,escalonilla,toledo,538,210,298,868,1080,2994
45063,espinoso,toledo,68,26,56,172,514,836
45064,esquivias,toledo,2282,940,1264,3690,3510,11686
45065,"estrella,",toledo,24,26,28,68,390,536
45066,fuensalida,toledo,5436,1902,2928,7550,7064,24880
45067,galvez,toledo,930,468,538,1664,2406,6006
45068,garciotum,toledo,82,16,42,98,192,430
45069,gerindote,toledo,1066,426,732,1610,1742,5576
45070,guadamur,toledo,548,254,364,984,1408,3558
45071,"guardia,",toledo,624,344,430,1160,1792,4350
45072,"herencias,",toledo,146,124,160,418,738,1586
45073,herreruela,toledo,36,50,56,148,380,670
45074,hinojosa,toledo,68,56,68,174,410,776
45075,hontanar,toledo,24,16,38,82,144,304
45076,hormigos,toledo,308,122,184,630,744,1988
45077,huecas,toledo,306,100,186,532,630,1754
45078,huerta,toledo,640,260,330,1008,1322,3560
45079,iglesuela,toledo,130,36,56,264,416,902
45080,illan,toledo,0,0,0,2,2,4
45081,illescas,toledo,15170,4994,6992,23392,13678,64226
45082,lagartera,toledo,288,136,204,624,1402,2654
45083,layos,toledo,390,116,128,608,574,1816
45084,lillo,toledo,704,330,490,1410,2080,5014
45085,lominchar,toledo,1190,494,648,1932,1370,5634
45086,lucillos,toledo,198,70,128,374,512,1282
45087,madridejos,toledo,3174,1516,2134,5694,7624,20142
45088,magan,toledo,1892,668,928,2952,1762,8202
45089,malpica,toledo,408,236,340,904,1500,3388
45090,manzaneque,toledo,90,38,92,228,372,820
45091,maqueda,toledo,106,64,86,252,498,1006
45092,marjaliza,toledo,46,30,50,120,288,534
45093,marrupe,toledo,24,12,18,62,208,324
45094,mascaraque,toledo,108,28,78,270,372,856
45095,"mata,",toledo,332,160,216,396,726,1830
45096,mazarambroz,toledo,414,198,282,670,1006,2570
45097,mejorada,toledo,408,236,220,818,1096,2778
45098,menasalbas,toledo,618,378,500,1194,2252,4942
