cmun,municipality,province,autonomous_community,altitude,longitude,latitude,0-17,18-24,25-34,35-54,55+,male,female,total_population,n_industry,n_construction,n_info_communications,n_financial_insurance,n_real_estate,n_professional_technical,n_eduation_health_social,n_other,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,vdsl_30mbps,fixed_wireless,ftth,hfc,reception_30mbps,reception_100mbps,reception_1gbps,4g,5g,"5g_3,5ghz",count_of_stations,suburban_train
1049,Añana,Álava,País Vasco,628.5115,-2.982607,42.80235,12,2,18,38,73,86,57,143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,22.256787589475916,Manzanos,11.504338320735062,14.758740090825311,Hospital Santiago Apóstol,5.937532176192094,Erribera Goitiako Haurreskola Phe,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",226.0,0.0,0.99,0.9,0.0,0.95,0.9,0.9,1.0,0.0,0.0,,
1052,Samaniego,Álava,País Vasco,578.5411,-2.680185,42.56983,49,22,32,64,123,144,146,290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,32.239645803791724,Haro,13.966566217763948,3.479302185385651,Hospital De Leza,0.1394331415360771,Samaniegoko Haurreskola Phe,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",259.0,0.0,1.0,0.98,0.0,1.0,0.97,0.99,1.0,0.77,0.0,,
1053,San Millán/Donemiliaga,Álava,País Vasco,596.2991,-2.376111,42.87472,104,43,54,193,327,388,333,721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,29.01276716065816,Agurain/Salvatierra De Alava,3.319772481330983,22.68337298174024,Organización Sanitaria Integrada Alto Deba,2.755786271357529,Ps Lautada Ikastola Hlbhip,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,479.0,0.0,0.68,0.57,0.0,0.9,0.53,0.54,0.97,0.72,0.0,,
1054,Urkabustaiz,Álava,País Vasco,680.2825,-2.922222,42.97194,278,102,132,489,458,759,700,1459,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,18.69615828474091,Nanclares-Langraiz,19.77326423921799,22.972094487440447,Hospital Universitario De Araba (Sede Txagorritxu Y Sede Santiago),2.426489332062374,Urkabustaizko Haurreskola-Sorgingane Phe,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,858.0,0.11,0.96,0.91,0.0,0.97,0.94,0.96,0.99,0.71,0.0,2.0,0.0
1055,Valdegovía/Gaubea,Álava,País Vasco,574.0443,-3.1,42.85,99,58,97,257,560,576,495,1071,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,30.31521423384047,Miranda De Ebro,21.95539490558633,21.98891461221604,Hospital Santiago Apóstol,0.4439355846757913,Gobea Hlhi,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",1230.0,0.02,0.92,0.89,0.0,0.9,0.8,0.85,0.99,0.0,0.0,,
1056,Harana/Valle de Arana,Álava,País Vasco,831.0966,-2.321858,42.75673,18,10,15,37,134,117,97,214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,33.009423711628926,Agurain/Salvatierra De Alava,11.38773180546717,24.56967102855793,Hospital García Orcoyen,9.479826539075184,Mendialdea Ipi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,237.0,0.0,0.95,0.99,0.0,0.99,0.98,0.99,1.0,0.01,0.0,,
1057,Villabuena de Álava/Eskuernaga,Álava,País Vasco,486.5453,-2.665456,42.54872,29,13,26,78,136,147,135,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,30.28211275709868,Haro,15.584396526608735,3.745234555109626,Hospital De Leza,2.5242704430829708,Samaniegoko Haurreskola Phe,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",275.0,0.19,1.0,0.99,0.0,1.0,1.0,1.0,1.0,0.31,0.0,,
1059,Vitoria-Gasteiz,Álava,País Vasco,534.3582,-2.667893,42.84641,42947,17680,25583,77218,93979,125163,132244,257407,916.0,1.527,323.0,250.0,237.0,2.453,1.241,1.454,Aeropuerto de Vitoria,6.321856215985429,Vitoria/Gasteiz,0.668031538514676,0.3724720468556434,Hospital Quirónsalud Vitoria,0.390513953848906,Paulo Freire Hhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,117869.0,0.11,1.0,0.99,0.01,0.99,0.98,0.99,1.0,1.0,0.97,,
1060,Yécora/Iekora,Álava,País Vasco,688.1754,-2.470064,42.5693,38,23,25,60,118,142,122,264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,17.497478485920592,Logroño,12.641325795173524,11.418296059895155,Hospital General De La Rioja,3.646137623115031,Lantziego Ikastola Hlhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,231.0,0.0,1.0,0.98,0.0,1.0,0.99,0.99,1.0,0.0,0.0,,
1061,Zalduondo,Álava,País Vasco,608.8599,-2.347254,42.88563,21,16,14,65,78,105,89,194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,31.371765167156884,Araia,3.761074067809244,22.18459818395555,Hospital De Zumarraga,2.6323433845261333,Araia Hlhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,124.0,0.0,0.33,0.94,0.0,0.98,0.96,0.98,1.0,0.93,0.0,1.0,0.0
