cmun,municipality,municipality_1,municipality_2,province,autonomous_community,latitude,longitude,altitude
3029,Benigembla,benigembla,,Alicante,Valencia,38.75606,-0.1102239,310.3394
3030,Benidoleig,benidoleig,,Alicante,Valencia,38.79387,-0.0281963,102.7022
3031,Benidorm,benidorm,,Alicante,Valencia,38.53704,-0.1290771,21.19977
3032,Benifallim,benifallim,,Alicante,Valencia,38.66279,-0.4003207,730.8427
3033,Benifato,benifato,,Alicante,Valencia,38.67406,-0.2300378,654.8287
3034,Benijófar,benijofar,,Alicante,Valencia,38.07811,-0.73795,35.03075
3035,Benilloba,benilloba,,Alicante,Valencia,38.70023,-0.3904273,535.0692
3036,Benillup,benillup,,Alicante,Valencia,38.75348,-0.3789057,561.1097
3037,Benimantell,benimantell,,Alicante,Valencia,38.67443,-0.207443,562.9584
3038,Benimarfull,benimarfull,,Alicante,Valencia,38.7751,-0.3934855,427.3933
3039,Benimassot,benimassot,,Alicante,Valencia,38.74907,-0.2923697,729.0436
3040,Benimeli,benimeli,,Alicante,Valencia,38.82294,-0.0417273,95.25533
3041,Benissa,benissa,,Alicante,Valencia,38.71623,0.0533722,253.765
3043,Biar,biar,,Alicante,Valencia,38.6297,-0.7654974,703.2366
3044,Bigastro,bigastro,,Alicante,Valencia,38.06304,-0.8955043,29.8936
3045,Bolulla,bolulla,,Alicante,Valencia,38.67622,-0.1117929,220.4359
3046,Busot,busot,,Alicante,Valencia,38.48483,-0.4172711,331.5273
3048,Callosa d'en Sarrià,callosad'ensarria,,Alicante,Valencia,38.65133,-0.1225342,254.6619
3049,Callosa de Segura,callosadesegura,,Alicante,Valencia,38.12413,-0.8784829,22.56134
3050,"Campello, el",campelloel,,Alicante,Valencia,38.42892,-0.3978871,25.46509
3052,Cañada,canada,,Alicante,Valencia,38.67524,-0.8098581,561.0671
3053,Castalla,castalla,,Alicante,Valencia,38.59519,-0.6722506,685.3792
3054,Castell de Castells,castelldecastells,,Alicante,Valencia,38.75242,-0.1748384,425.5766
3055,Catral,catral,,Alicante,Valencia,38.16095,-0.8014995,11.0
3056,Cocentaina,cocentaina,,Alicante,Valencia,38.74228,-0.4384323,446.2317
3057,Confrides,confrides,,Alicante,Valencia,38.68329,-0.2685593,789.8048
3058,Cox,cox,,Alicante,Valencia,38.1416,-0.8870501,20.62896
3059,Crevillent,crevillent,,Alicante,Valencia,38.24703,-0.803492,120.1649
3060,Quatretondeta,quatretondeta,,Alicante,Valencia,38.72365,-0.3159135,622.546
3061,Daya Nueva,dayanueva,,Alicante,Valencia,38.11316,-0.7592378,8.224919
3062,Daya Vieja,dayavieja,,Alicante,Valencia,38.10484,-0.7387287,6.833565
3063,Dénia,denia,,Alicante,Valencia,38.84043,0.1085751,11.78009
3064,Dolores,dolores,,Alicante,Valencia,38.14058,-0.7692993,9.227216
3066,Elda,elda,,Alicante,Valencia,38.47803,-0.7904639,413.189
3068,Famorca,famorca,,Alicante,Valencia,38.73206,-0.2463927,691.6473
3069,Finestrat,finestrat,,Alicante,Valencia,38.56909,-0.2107335,261.4681
3070,Formentera del Segura,formenteradelsegura,,Alicante,Valencia,38.08562,-0.7453506,10.79573
3071,Gata de Gorgos,gatadegorgos,,Alicante,Valencia,38.77425,0.0812124,85.46293
3072,Gaianes,gaianes,,Alicante,Valencia,38.81155,-0.4103162,414.3354
3073,Gorga,gorga,,Alicante,Valencia,38.72056,-0.3560984,555.8732
3074,Granja de Rocamora,granjaderocamora,,Alicante,Valencia,38.15253,-0.8909073,18.04087
3075,"Castell de Guadalest, el",castelldeguadalestel,,Alicante,Valencia,38.67644,-0.198618,555.7478
3076,Guardamar del Segura,guardamardelsegura,,Alicante,Valencia,38.08615,-0.651254,26.48124
3077,"Fondó de les Neus, el/Hondón de las Nieves",fondodelesneusel,,Alicante,Valencia,38.30504,-0.9341582,493.7399
3078,Hondón de los Frailes,hondondelosfrailes,,Alicante,Valencia,38.27319,-0.9276314,418.041
3079,Ibi,ibi,,Alicante,Valencia,38.62551,-0.5713521,753.7646
3080,Jacarilla,jacarilla,,Alicante,Valencia,38.06133,-0.8686115,27.33402
3081,Xaló,xalo,,Alicante,Valencia,38.73989,-0.0120761,196.9115
3085,Llíber,lliber,,Alicante,Valencia,38.74273,0.0063282,185.6137
3086,Millena,millena,,Alicante,Valencia,38.73058,-0.3638289,634.1902
3088,Monforte del Cid,monfortedelcid,,Alicante,Valencia,38.37923,-0.7292369,223.6606
3090,Mutxamel,mutxamel,,Alicante,Valencia,38.41235,-0.4432408,65.50282
3091,Murla,murla,,Alicante,Valencia,38.76031,-0.0829431,291.5551
3092,Muro de Alcoy,murodealcoy,,Alicante,Valencia,38.78075,-0.4402698,411.4849
3093,Novelda,novelda,,Alicante,Valencia,38.3853,-0.7653857,247.5291
3094,"Nucia, la",nuciala,,Alicante,Valencia,38.61438,-0.1257095,235.7798
3095,Ondara,ondara,,Alicante,Valencia,38.82607,0.0159034,37.3018
3096,Onil,onil,,Alicante,Valencia,38.62606,-0.6731591,676.8312
3097,Orba,orba,,Alicante,Valencia,38.78033,-0.0637978,160.1064
3098,Orxeta,orxeta,,Alicante,Valencia,38.5636,-0.2619973,186.9968
3099,Orihuela,orihuela,,Alicante,Valencia,38.08395,-0.9447829,36.18137
3100,Parcent,parcent,,Alicante,Valencia,38.74553,-0.0661097,289.9498
3101,Pedreguer,pedreguer,,Alicante,Valencia,38.79388,0.0345502,87.95199
3102,Pego,pego,,Alicante,Valencia,38.84324,-0.1175528,83.52785
3103,Penàguila,penaguila,,Alicante,Valencia,38.67942,-0.3590004,689.5314
3104,Petrer,petrer,,Alicante,Valencia,38.47744,-0.7742523,437.8267
3105,"Pinós, el/Pinoso",pinosel,,Alicante,Valencia,38.40112,-1.041577,572.8075
3106,Planes,planes,,Alicante,Valencia,38.7855,-0.344533,444.3655
3107,Polop,polop,,Alicante,Valencia,38.62263,-0.1259112,237.3766
3109,Rafal,rafal,,Alicante,Valencia,38.10402,-0.8499723,16.86083
3110,"Ràfol d'Almúnia, el",rafold'almuniael,,Alicante,Valencia,38.82033,-0.0530159,93.19769
3111,Redován,redovan,,Alicante,Valencia,38.11617,-0.9107296,26.24458
3112,Relleu,relleu,,Alicante,Valencia,38.58733,-0.3110441,439.6355
3113,Rojales,rojales,,Alicante,Valencia,38.08833,-0.7242546,13.9656
3114,"Romana, la",romanala,,Alicante,Valencia,38.38433,-0.9050398,448.9331
3115,Sagra,sagra,,Alicante,Valencia,38.81134,-0.0657266,113.3374
3116,Salinas,salinas,,Alicante,Valencia,38.51891,-0.9121291,491.3814
3117,Sanet y Negrals,sanetynegrals,,Alicante,Valencia,38.81991,-0.0345811,92.4516
3118,San Fulgencio,sanfulgencio,,Alicante,Valencia,38.11422,-0.7179557,7.573623
3119,Sant Joan d'Alacant,santjoand'alacant,,Alicante,Valencia,38.39817,-0.4345329,41.32392
3120,San Miguel de Salinas,sanmigueldesalinas,,Alicante,Valencia,37.97993,-0.7892857,77.87773
3121,Santa Pola,santapola,,Alicante,Valencia,38.1923,-0.5552066,10.0
3123,Sax,sax,,Alicante,Valencia,38.53757,-0.8180652,480.8817
3124,Sella,sella,,Alicante,Valencia,38.60862,-0.2730576,421.4968
3125,Senija,senija,,Alicante,Valencia,38.72786,0.0405763,239.5632
3127,Tàrbena,tarbena,,Alicante,Valencia,38.69572,-0.1037597,573.9403
3128,Teulada,teulada,,Alicante,Valencia,38.72881,0.1035751,181.3972
3129,Tibi,tibi,,Alicante,Valencia,38.52938,-0.5830948,493.401
3130,Tollos,tollos,,Alicante,Valencia,38.75664,-0.2747656,771.4578
3131,Tormos,tormos,,Alicante,Valencia,38.80195,-0.0721342,130.5348
3133,Torrevieja,torrevieja,,Alicante,Valencia,37.97747,-0.6832271,15.69942
3134,"Vall d'Alcalà, la",valld'alcalala,,Alicante,Valencia,38.79445,-0.2527778,641.0916
3135,"Vall d'Ebo, la",valld'ebola,,Alicante,Valencia,38.80732,-0.1570321,381.5167
3137,"Vall de Laguar, la",valldelaguarla,,Alicante,Valencia,38.77628,-0.1310217,548.257
3138,"Verger, el",vergerel,,Alicante,Valencia,38.33109,-0.5109846,10.94339
3140,Villena,villena,,Alicante,Valencia,38.63634,-0.8661389,522.7245
3901,"Poblets, els",pobletsels,,Alicante,Valencia,38.85391,0.018325,12.50598
3902,Pilar de la Horadada,pilardelahoradada,,Alicante,Valencia,37.86538,-0.7925081,32.33976
3903,"Montesinos, Los",montesinoslos,,Alicante,Valencia,38.02732,-0.743438,21.59749
3904,San Isidro,sanisidro,,Alicante,Valencia,38.1702,-0.8401969,10.8566
4001,Abla,abla,,Almería,Andalucía,37.14114,-2.780104,871.1684
4002,Abrucena,abrucena,,Almería,Andalucía,37.13305,-2.797098,976.9387
4003,Adra,adra,,Almería,Andalucía,36.74807,-3.022522,10.97898
4004,Albanchez,albanchez,,Almería,Andalucía,37.2871,-2.181163,481.3123
4005,Alboloduy,alboloduy,,Almería,Andalucía,37.03319,-2.62175,388.4346
4006,Albox,albox,,Almería,Andalucía,37.38979,-2.147483,426.4268
4007,Alcolea,alcolea,,Almería,Andalucía,36.97449,-2.961038,744.6956
4008,Alcóntar,alcontar,,Almería,Andalucía,37.33585,-2.596944,955.1331
4009,Alcudia de Monteagud,alcudiademonteagud,,Almería,Andalucía,37.23598,-2.266174,1018.354
4010,Alhabia,alhabia,,Almería,Andalucía,36.9893,-2.587667,288.056
4011,Alhama de Almería,alhamadealmeria,,Almería,Andalucía,36.95742,-2.570075,523.1963
4012,Alicún,alicun,,Almería,Andalucía,36.9663,-2.601994,420.4872
4013,Almería,almeria,,Almería,Andalucía,36.84016,-2.467922,27.00703
4014,Almócita,almocita,,Almería,Andalucía,37.00236,-2.790071,831.1343
4015,Alsodux,alsodux,,Almería,Andalucía,37.002,-2.594579,312.0394
4016,Antas,antas,,Almería,Andalucía,37.24516,-1.917543,107.2613
4017,Arboleas,arboleas,,Almería,Andalucía,37.35025,-2.074867,288.0828
4018,Armuña de Almanzora,armunadealmanzora,,Almería,Andalucía,37.34969,-2.411396,625.5285
4019,Bacares,bacares,,Almería,Andalucía,37.26083,-2.454761,1202.631
4020,Bayárcal,bayarcal,,Almería,Andalucía,37.03116,-2.996469,1271.166
4021,Bayarque,bayarque,,Almería,Andalucía,37.33091,-2.43566,816.2208
4022,Bédar,bedar,,Almería,Andalucía,37.18964,-1.981898,391.56
4023,Beires,beires,,Almería,Andalucía,37.012,-2.790928,919.2347
4024,Benahadux,benahadux,,Almería,Andalucía,36.92587,-2.455683,113.9746
4026,Benitagla,benitagla,,Almería,Andalucía,37.23124,-2.239107,945.0856
4027,Benizalón,benizalon,,Almería,Andalucía,37.21175,-2.241685,933.7475
4028,Bentarique,bentarique,,Almería,Andalucía,36.98652,-2.61942,319.8048
4029,Berja,berja,,Almería,Andalucía,36.84644,-2.949425,340.7863
4030,Canjáyar,canjayar,,Almería,Andalucía,37.00973,-2.739681,607.9745
4031,Cantoria,cantoria,,Almería,Andalucía,37.35259,-2.193626,388.6553
4032,Carboneras,carboneras,,Almería,Andalucía,36.99659,-1.895012,6.721787
4033,Castro de Filabres,castrodefilabres,,Almería,Andalucía,37.18464,-2.439524,943.7071
4034,Cóbdar,cobdar,,Almería,Andalucía,37.26199,-2.210223,606.9962
4035,Cuevas del Almanzora,cuevasdelalmanzora,,Almería,Andalucía,37.29709,-1.881476,97.29103
4036,Chercos,chercos,,Almería,Andalucía,37.26633,-2.257897,789.6791
4037,Chirivel,chirivel,,Almería,Andalucía,37.5956,-2.264839,1039.713
4038,Dalías,dalias,,Almería,Andalucía,36.82121,-2.870697,415.9644
4041,Enix,enix,,Almería,Andalucía,36.87704,-2.602107,720.6339
4043,Felix,felix,,Almería,Andalucía,36.86892,-2.657921,822.4271
4044,Fines,fines,,Almería,Andalucía,37.35888,-2.262964,448.7018
4045,Fiñana,finana,,Almería,Andalucía,37.17101,-2.840678,950.4163
4046,Fondón,fondon,,Almería,Andalucía,36.97942,-2.858356,858.4697
4047,Gádor,gador,,Almería,Andalucía,36.95393,-2.492936,169.0004
4048,"Gallardos, Los",gallardoslos,,Almería,Andalucía,37.16948,-1.940099,113.9905
4049,Garrucha,garrucha,,Almería,Andalucía,37.17925,-1.821901,2.56615
4050,Gérgal,gergal,,Almería,Andalucía,37.1207,-2.538305,750.5009
4051,Huécija,huecija,,Almería,Andalucía,36.96788,-2.611436,410.0447
4052,Huércal de Almería,huercaldealmeria,,Almería,Andalucía,36.88415,-2.435978,72.52909
4053,Huércal-Overa,huercalovera,,Almería,Andalucía,37.39063,-1.943684,284.6117
4054,Íllar,illar,,Almería,Andalucía,36.98504,-2.639302,428.1185
4055,Instinción,instincion,,Almería,Andalucía,36.99316,-2.659945,434.57
4056,Laroya,laroya,,Almería,Andalucía,37.29667,-2.329601,854.0873
4057,Láujar de Andarax,laujardeandarax,,Almería,Andalucía,36.99384,-2.88922,910.9894
4058,Líjar,lijar,,Almería,Andalucía,37.29527,-2.219928,593.4965
