,18-24,25-34,35-54
875,0,1,7
876,22,12,82
877,38,65,242
878,52,101,329
879,2,7,13
881,24,21,86
882,0,1,4
883,11,34,49
884,2,3,5
885,1,9,22
886,40,70,162
887,4,11,72
888,206,312,1152
889,125,137,627
890,5,7,13
891,3,1,12
892,35,44,103
893,9,1,25
894,11,29,96
895,40,74,288
896,55,116,221
897,8,18,60
898,188,257,776
899,3,7,42
900,7,5,32
902,2,8,68
903,0,4,12
904,99,136,554
906,68,116,396
907,82,163,540
908,71,128,468
909,300,395,1399
910,0,2,1
911,16,15,79
912,50,140,359
913,0,2,5
914,4,15,42
915,292,403,1347
916,61,83,260
917,5,3,19
918,0,3,15
919,324,542,1700
921,50,132,414
922,84,67,320
923,0,2,10
924,2,11,16
925,25,30,101
926,1,3,7
927,19,56,180
928,10,24,75
929,3,7,16
930,19,33,79
931,133,206,894
932,10,14,36
933,17,30,98
934,278,296,1059
935,64,126,386
936,25,20,65
937,11,28,81
938,4,6,12
939,11,8,18
940,1,2,8
941,0,1,2
942,21,39,126
943,126,220,575
944,44,78,299
945,62,86,268
946,90,159,493
947,18,28,78
948,7,16,39
949,27,57,149
950,8,4,54
951,22,35,130
952,16,31,104
953,0,0,7
954,56,89,245
955,9,6,30
957,12,18,47
958,1,4,19
959,5,13,32
960,4,19,69
961,20,41,102
962,19,29,115
963,1,4,4
964,7,7,55
965,2,3,4
966,1,4,7
967,60,88,244
968,0,1,6
969,100,216,426
970,18,43,119
971,45,58,234
972,1,3,18
973,16,20,53
974,2,2,6
975,288,448,1231
976,2,7,12
977,125,203,616
978,0,4,7
979,6,12,40
980,7,14,30
981,1,2,4
982,100,128,278
983,29,40,169
984,0,0,13
985,125,205,735
986,3,4,4
987,71,120,482
988,10,11,22
989,18,49,104
990,16,23,83
991,21,26,139
992,8,10,44
993,9,15,43
994,38,66,191
995,29,70,215
996,2,9,19
997,258,295,1038
998,3,5,20
1000,11,19,66
1001,56,139,487
1002,100,198,515
1003,12,32,76
1004,0,1,1
1005,0,1,15
1006,55,79,250
1007,78,142,503
1008,4,17,31
1009,1,3,10
1011,28,37,161
1012,13,14,52
1013,16,16,53
1014,0,0,6
1015,2,11,28
1016,3,8,49
1017,111,153,503
1018,11,14,82
1019,1,2,3
1020,15,10,48
1021,23,46,173
1022,10,21,51
1023,7,12,54
1024,345,492,1585
1025,28,26,93
1026,49,111,325
1027,8,5,47
1028,31,50,191
1029,91,155,438
1030,150,247,744
1031,21,50,218
1032,6,4,42
1033,228,347,972
1034,23,32,133
1036,38,86,226
1037,1,4,17
1038,76,87,290
1039,73,113,371
1040,0,11,24
1042,11,18,51
1043,10,7,40
1044,27,84,246
1045,18,56,138
1046,46,111,432
1047,8,14,50
1048,5,16,17
1049,5,4,23
1050,34,38,105
1051,19,46,134
1052,0,0,11
1053,33,74,189
1055,4,0,12
1056,60,147,460
1057,3,12,11
1058,7,15,47
1059,38,66,193
1061,230,269,997
1062,6,13,36
1063,5,11,24
1065,66,63,215
1066,6,8,25
1067,10,9,41
1068,66,109,247
1071,2,3,6
1072,0,2,4
1073,335,608,1407
1074,6,16,40
1075,28,57,160
1076,1,3,10
1077,24,49,141
1078,7,10,36
1079,56,77,251
1080,108,174,468
1081,7,3,17
1082,25,25,109
1083,12,17,40
1084,39,77,207
1085,40,41,154
1086,10,45,111
1087,298,428,1036
1089,5,12,19
1090,151,212,752
1092,1,5,16
1093,78,168,403
1094,2,6,15
1095,64,82,319
1096,86,142,369
1097,5,5,12
1098,28,39,120
1099,1,8,10
1100,82,118,510
1101,2,6,34
1102,149,203,761
1103,10,18,58
1104,25,28,78
1105,5,15,45
1106,174,241,696
1107,76,98,281
1108,34,56,153
1109,32,13,114
1110,87,166,701
1111,15,24,51
1112,37,56,144
1113,190,274,739
1114,2,7,39
1115,6,5,15
1116,5,16,36
1117,0,5,11
1118,2,2,9
1119,0,3,5
1120,4,3,18
1121,180,288,849
1122,4,7,27
1123,51,74,177
1124,8,4,24
1125,3,9,25
1126,17,12,63
1127,36,53,117
1128,80,168,343
1129,125,145,494
1130,12,39,51
1131,137,232,845
1132,15,22,106
1133,27,31,97
1134,22,23,74
1135,3,6,11
1137,1,1,13
1138,12,44,117
1139,1,7,29
1140,43,81,210
1141,7,27,60
1142,0,3,9
1143,0,4,18
1144,22,12,63
1145,15,32,99
1146,62,90,278
1147,67,92,160
1148,3,11,27
1149,248,360,1125
1150,2,0,12
1151,5,6,27
1152,12,13,20
1153,6,20,46
1155,28,40,155
1156,81,141,270
1157,22,25,81
1158,28,31,124
1159,18,20,59
1160,11,12,57
1161,23,57,173
1162,353,502,1633
1163,18,18,81
1164,112,172,533
1165,15,27,66
1166,9,21,42
1167,155,238,595
1168,22,70,135
1169,2,1,9
1170,3,16,48
1171,8,16,37
1172,20,21,65
1173,2,14,23
1174,41,74,210
1175,174,198,785
1176,5,10,32
1177,37,84,261
1178,11,43,104
1179,17,29,116
1180,41,68,217
1181,36,29,101
1182,78,145,374
1183,23,39,107
1184,4,1,14
1185,10,6,39
1186,156,290,605
1187,13,20,74
1188,20,17,79
1189,31,104,377
1190,4,8,25
1191,4,10,29
1192,8,28,112
1193,4,16,62
1194,268,338,749
1195,4,22,42
1196,10,6,31
1197,44,93,322
1198,72,125,320
1199,54,91,207
1200,17,23,50
1201,120,276,531
1202,7,13,26
1203,13,4,36
1204,7,20,56
1205,30,70,239
1206,1,3,6
1207,9,14,16
1208,4,9,31
1209,18,41,117
1210,8,12,34
1211,120,185,578
1212,10,13,48
1213,52,81,208
1214,7,4,20
1215,1,4,4
1216,26,59,159
1217,0,10,33
1218,15,41,92
1219,24,28,107
1220,22,61,171
1221,139,235,731
1222,2,1,15
1223,46,98,243
1224,19,52,63
1225,45,94,310
1226,38,133,231
1227,27,45,112
1228,9,9,27
1229,19,33,114
1230,34,55,145
1231,355,473,1461
1232,14,32,72
1233,21,33,79
1234,12,24,56
1235,43,47,144
1236,22,46,129
1237,1,4,11
1238,30,46,115
1239,5,12,27
1240,13,16,61
1241,2,12,28
1242,26,63,183
1243,57,60,195
1244,279,415,1187
1245,3,19,31
1247,3,7,29
1248,14,32,58
1249,3,1,10
1250,168,306,793
1251,13,24,96
1252,3,17,31
1253,1,4,9
