,longitude,municipality,latitude
485,-5.886462,Soto y Amío,42.77994
486,-2.25731,Larraona,42.77948
487,-2.228781,Aranarache/Aranaratxe,42.77942
488,-1.798546,Zabalza/Zabaltza,42.77918
489,-1.458369,Urroz-Villa,42.77863
490,-1.994227,Lezaun,42.77801
491,-7.414474,Sarria,42.77766
492,-2.208038,Eulate,42.77654
493,-1.247821,Urraul Alto,42.77569
494,-1.88998,Salinas de Oro/Jaitz,42.77519
495,-1.836097,Bidaurreta,42.77467
496,-9.057509,Muros,42.77432
497,-4.169625,Pomar de Valdivia,42.77392
498,-5.944554,Riello,42.77377
499,-0.3347842,Sallent de Gállego,42.77204
500,-3.872826,Sargentes de la Lora,42.76923
501,-6.625144,Fabero,42.76797
502,-7.6,Paradela,42.76667
503,-2.831537,"Puebla de Arganzón, La",42.76628
504,-4.686781,Respenda de la Peña,42.76434
505,-8.019424,Agolada,42.76227
506,-8.706309,Rois,42.76181
507,-1.699125,Galar,42.76156
508,-3.294353,Frías,42.76148
509,-1.633801,Noáin (Valle de Elorz)/Noain (Elortzibar),42.7599
510,-8.846885,Lousame,42.75896
511,-0.8281171,Ansó,42.75754
512,-1.385556,Lónguida/Longida,42.75722
513,0.7122222,Arres,42.75694
514,-2.321858,Harana/Valle de Arana,42.75673
515,-2.987556,Lantarón,42.75667
516,-7.240443,Triacastela,42.75665
517,-1.8325,Belascoáin,42.75615
518,-4.842566,Mantinos,42.75367
519,-1.421,Izagaondoa,42.753
520,-3.54248,Rucandio,42.75172
521,-5.411633,Santa Colomba de Curueño,42.75084
522,-1.917,Guesálaz/Gesalatz,42.75
523,0.725197,Vilamòs,42.74807
524,-1.502249,Unciti,42.74726
525,-2.44598,Arraia-Maeztu,42.73981
526,-0.7503078,Valle de Hecho,42.7395
527,-8.660538,Padrón,42.73898
528,0.7190797,"Bòrdes, Es",42.73772
529,-0.8654409,Fago,42.73519
530,-2.74691,Condado de Treviño,42.7349
531,-3.414072,Oña,42.73478
532,-3.4672,Cantabrana,42.73465
533,-1.645333,Beriáin,42.7338
