cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,male,female,total_population
5008,aldeaseca,aldeaseca,24,7,21,48,104,103,101,204
5010,"aldehuela, la","aldehuela, la",10,6,13,36,80,73,72,145
5012,amavida,amavida,14,7,10,26,76,72,61,133
5013,"arenal, el","arenal, el",99,45,72,240,532,480,508,988
5014,arenas de san pedro,arenas de san pedro,881,376,517,1752,2944,3143,3327,6470
5015,arevalillo,arevalillo,3,2,7,9,38,28,31,59
5016,arevalo,arevalo,1250,624,778,2228,2978,3827,4031,7858
5017,aveinte,aveinte,0,1,9,14,49,42,31,73
5018,avellaneda,avellaneda,0,1,2,4,16,15,8,23
5019,avila,avila,10224,4387,5991,16742,21775,28144,30975,59119
5021,"barco de avila, el","barco de avila, el",340,149,174,616,1028,1110,1197,2307
5022,"barraco, el","barraco, el",274,124,203,513,908,1018,1004,2022
5023,barroman,barroman,5,8,18,32,112,95,80,175
5024,becedas,becedas,4,2,5,28,116,83,72,155
5025,becedillas,becedillas,3,1,4,19,42,37,32,69
5026,bercial de zapardiel,bercial de zapardiel,4,5,17,46,101,90,83,173
5027,"berlanas, las","berlanas, las",29,21,32,78,163,169,154,323
5029,bernuy-zapardiel,bernuy-zapardiel,3,2,6,17,59,51,36,87
5030,berrocalejo de aragona,berrocalejo de aragona,8,2,6,17,23,31,25,56
5033,blascomillan,blascomillan,10,9,17,34,98,85,83,168
5034,blasconuno de matacabras,blasconuno de matacabras,0,0,0,3,11,9,5,14
5035,blascosancho,blascosancho,8,5,9,29,47,50,48,98
5036,"bohodon, el","bohodon, el",2,4,6,29,71,56,56,112
5037,bohoyo,bohoyo,14,10,13,44,134,127,88,215
5038,bonilla de la sierra,bonilla de la sierra,10,12,10,42,89,94,69,163
5039,brabos,brabos,0,1,5,6,25,23,14,37
5040,bularros,bularros,0,2,3,10,40,38,17,55
5041,burgohondo,burgohondo,168,58,123,344,563,669,587,1256
