cmun,municipality,count_of_stations,suburban_train
12102,Santa Magdalena De Pulpis,1,no
12104,Segorbe,2,yes
12106,Soneja,1,yes
12114,Torás,1,no
12117,Torreblanca,1,yes
12138,Vinaròs,1,yes
13005,Alcázar De San Juan,3,no
13011,Almadén,1,no
13012,Almadenejos,2,no
13013,Almagro,1,no
13015,Almodóvar Del Campo,2,no
13016,Almuradiel,2,no
13020,Argamasilla De Calatrava,1,no
13024,Brazatortas,1,no
13028,Campo De Criptana,2,no
13029,Cañada De Calatrava,1,no
13030,Caracuel De Calatrava,1,no
13034,Ciudad Real,1,no
13038,Chillón,1,no
13039,Daimiel,1,no
13040,Fernán Caballero,1,no
13044,Fuente El Fresno,1,no
13046,Guadalmez,2,no
13052,Malagón,1,no
13053,Manzanares,2,no
13056,Miguelturra,1,no
13064,Poblete,1,no
13071,Puertollano,2,no
13077,Santa Cruz De Mudela,1,no
13078,Socuéllamos,2,no
13082,Tomelloso,1,no
13087,Valdepeñas,2,no
13098,Viso Del Marqués,1,no
14002,Aguilar De La Frontera,1,no
14005,Almodóvar Del Río,1,no
14013,Cabra,1,no
14019,Castro Del Río,3,no
14021,Córdoba,10,no
14022,Doña Mencía,1,no
14029,Fuente Obejuna,1,no
14036,Hornachuelos,1,no
14038,Lucena,1,no
14039,Luque,2,no
14041,Montemayor,1,no
14042,Montilla,1,no
14043,Montoro,2,no
14045,Moriles,1,no
14049,Palma Del Río,1,no
14050,Pedro Abad,1,no
14053,Posadas,1,no
14056,Puente Genil,3,no
14066,Villa Del Río,1,no
14067,Villafranca De Córdoba,1,no
14069,Villanueva De Córdoba,1,no
14075,Zuheros,1,no
15002,Ames,1,no
15005,Arteixo,1,no
15008,Bergondo,1,no
15009,Betanzos,2,no
15015,Cabanas,1,no
15017,Cambre,2,no
15024,Cerceda,4,no
15025,Cerdido,2,yes
15030,Coruña (A),4,no
15031,Culleredo,3,no
15032,Curtis,3,no
15035,Fene,2,no
15036,Ferrol,3,yes
15037,Fisterra,1,no
15044,Mañón,1,no
15048,Miño,2,no
15049,Moeche,3,yes
15051,Mugardos,1,no
15054,Narón,9,yes
15055,Neda,1,no
15059,Ordes,3,no
15060,Oroso,2,no
15061,Ortigueira,6,yes
15065,Padrón,3,no
15069,Pontedeume,1,no
15076,San Sadurniño,3,yes
15078,Santiago De Compostela,4,no
15082,Teo,1,no
15084,Tordoia,1,no
15089,Vedra,1,no
16023,Chillarón De Cuenca,1,no
16024,Arguisuelas,1,no
16046,Cañada Del Hoyo,2,no
16055,Carboneras De Guadazaón,1,no
16067,Castejón,1,no
16078,Cuenca,2,no
16082,Enguídanos,1,no
16108,Huelves,1,no
16112,Huete,3,no
16151,Paredes,1,no
16203,Tarancón,1,no
16240,Vellisca,1,no
16274,Víllora,1,no
16276,Yémeda,1,no
16904,Fuentenava De Jábaga,1,no
16910,Villar Y Velasco,1,no
17006,Alp,3,yes
17023,Blanes,1,yes
17025,Bordils,1,no
17033,Caldes De Malavella,2,yes
17036,Campdevànol,1,yes
17037,Campelles,1,no
17043,Queralbs,1,no
17049,Celrà,1,no
17054,Colera,2,no
17066,Figueres,2,no
17067,Flaçà,1,no
17069,Fontanals De Cerdanya,1,no
17073,Fornells De La Selva,1,no
17075,Garrigàs,1,no
17079,Girona,2,yes
17083,Hostalric,1,yes
17092,Llançà,1,no
17101,Massanes,1,yes
17105,Mieres,11,yes
17132,Peralada,1,no
17134,Planoles,1,yes
17138,Portbou,2,no
17141,Puigcerdà,1,yes
17145,Ribes De Freser,3,yes
17146,Riells I Viabrea,1,yes
17147,Ripoll,1,yes
17150,Riudellots De La Selva,1,no
17166,Sant Jordi Desvalls,1,no
17167,Sant Joan De Les Abadesses,1,no
17175,Sant Miquel De Fluvià,1,no
17187,"Saus, Camallera I Llampaies",1,no
17193,Sils,1,no
17201,Toses,1,yes
17221,Vilafant,1,no
17223,Vilajuïga,1,no
17226,Vilamalla,1,no
18002,Alamedilla,1,no
18003,Albolote,1,no
18022,Atarfe,2,no
18023,Baza,2,no
18027,Benalúa,1,no
18037,Calicasas,1,no
18039,Caniles,1,no
18066,Deifontes,1,no
18076,Fonelas,1,no
18078,Freila,1,no
18085,Gor,2,no
18086,Gorafe,1,no
18087,Granada,1,no
18089,Guadix,2,no
18096,Huélago,1,no
18097,Huéneja,1,no
18100,Huétor Tájar,1,no
18102,Illora,3,no
18105,Iznalloz,1,no
18114,Calahorra (La),1,no
18122,Loja,3,no
18152,Pedro Martínez,1,no
18158,Pinos Puente,3,no
18159,Píñar,1,no
18188,Villanueva Mesía,1,no
18909,Morelábor,1,no
19042,Arroyo De Las Fraguas,1,yes
19046,Azuqueca De Henares,1,yes
19047,Baides,1,no
19098,Copernal,1,no
19113,Espinosa De Henares,2,no
19117,Fontanar,1,no
19130,Guadalajara,1,yes
19151,Humanes,1,no
19156,Jadraque,1,no
19174,Matillas,1,no
19189,Mohernando,2,no
19257,Sigüenza,4,no
19326,Yebes,1,no
19331,Yunquera De Henares,2,yes
20005,Alegia,1,yes
20009,Andoain,2,yes
20010,Anoeta,1,yes
20019,Beasain,2,yes
20025,Zegama,2,no
20038,Gabiria,1,yes
20040,Hernani,2,yes
20044,Ikaztegieta,1,yes
20045,Irun,3,yes
20047,Itsasondo,1,yes
20051,Legazpi,2,yes
20052,Legorreta,1,yes
20053,Lezo,2,yes
20062,Ormaiztegi,1,yes
20064,Pasaia,1,yes
20071,Tolosa,2,yes
20072,Urnieta,1,yes
20075,Villabona,1,yes
20076,Ordizia,1,yes
20080,Zumarraga,1,yes
21002,Aljaraque,1,no
21004,Almonaster La Real,2,no
21010,Ayamonte,1,no
21017,Calañas,3,no
21018,Campillo (El),1,no
21021,Cartaya,1,no
