cmun,n_industry,n_construction,n_info_communications,n_financial_insurance,n_real_estate,n_professional_technical,n_eduation_health_social,n_other
05033,0,0,0,0,0,0,0,0
05034,0,0,0,0,0,0,0,0
05035,0,0,0,0,0,0,0,0
05036,0,0,0,0,0,0,0,0
05037,0,0,0,0,0,0,0,0
05038,0,0,0,0,0,0,0,0
05039,0,0,0,0,0,0,0,0
05040,0,0,0,0,0,0,0,0
05041,4,28,0,0,0,0,0,0
05042,0,0,0,0,0,0,0,0
05043,0,0,0,0,0,0,0,0
05044,0,0,0,0,0,0,0,0
05045,0,0,0,0,0,0,0,0
05046,0,0,0,0,0,0,0,0
05047,28,57,0,0,13,35,26,33
05048,0,0,0,0,0,0,0,0
05049,0,0,0,0,0,0,0,0
05051,0,0,0,0,0,0,0,0
05052,0,0,0,0,0,0,0,0
05053,0,0,0,0,0,0,0,0
05054,0,0,0,0,0,0,0,0
05055,0,0,0,0,0,0,0,0
05056,0,0,0,0,0,0,0,0
05057,8,32,0,0,0,0,0,0
05058,0,0,0,0,0,0,0,0
05059,0,0,0,0,0,0,0,0
05060,0,0,0,0,0,0,0,0
05061,0,0,0,0,0,0,0,0
05062,0,0,0,0,0,0,0,0
05063,0,0,0,0,0,0,0,0
05064,0,0,0,0,0,0,0,0
05065,0,0,0,0,0,0,0,0
05066,0,0,0,0,0,0,0,0
05067,0,0,0,0,0,0,0,0
05069,0,0,0,0,0,0,0,0
05070,0,0,0,0,0,0,0,0
05072,0,0,0,0,0,0,0,0
05073,0,0,0,0,0,0,0,0
05074,0,0,0,0,0,0,0,0
05075,0,0,0,0,0,0,0,0
05076,0,0,0,0,0,0,0,0
05077,0,0,0,0,0,0,0,0
05078,0,0,0,0,0,0,0,0
05079,0,0,0,0,0,0,0,0
05080,0,0,0,0,0,0,0,0
05081,0,0,0,0,0,0,0,0
05082,0,0,0,0,0,0,0,0
05083,0,0,0,0,0,0,0,0
05084,0,0,0,0,0,0,0,0
05085,0,0,0,0,0,0,0,0
05086,0,0,0,0,0,0,0,0
05087,0,0,0,0,0,0,0,0
05088,0,0,0,0,0,0,0,0
05089,0,0,0,0,0,0,0,0
05090,0,0,0,0,0,0,0,0
05092,0,0,0,0,0,0,0,0
05093,0,0,0,0,0,0,0,0
05094,0,0,0,0,0,0,0,0
05095,0,0,0,0,0,0,0,0
05096,0,0,0,0,0,0,0,0
05097,0,0,0,0,0,0,0,0
05099,0,0,0,0,0,0,0,0
05100,0,0,0,0,0,0,0,0
05101,0,0,0,0,0,0,0,0
05102,6,46,0,0,0,0,0,0
05103,0,0,0,0,0,0,0,0
05104,0,0,0,0,0,0,0,0
05105,0,0,0,0,0,0,0,0
05106,0,0,0,0,0,0,0,0
05107,0,0,0,0,0,0,0,0
05108,0,0,0,0,0,0,0,0
05109,0,0,0,0,0,0,0,0
05110,0,0,0,0,0,0,0,0
05112,0,0,0,0,0,0,0,0
05113,0,0,0,0,0,0,0,0
05114,4,13,0,0,0,0,0,0
05115,0,0,0,0,0,0,0,0
05116,0,0,0,0,0,0,0,0
05117,0,0,0,0,0,0,0,0
05118,0,0,0,0,0,0,0,0
05119,0,0,0,0,0,0,0,0
05120,0,0,0,0,0,0,0,0
05121,0,0,0,0,0,0,0,0
05122,0,0,0,0,0,0,0,0
05123,0,0,0,0,0,0,0,0
05124,0,0,0,0,0,0,0,0
05125,0,0,0,0,0,0,0,0
05126,0,0,0,0,0,0,0,0
05127,0,0,0,0,0,0,0,0
05128,0,0,0,0,0,0,0,0
05129,0,0,0,0,0,0,0,0
05130,0,0,0,0,0,0,0,0
05131,0,0,0,0,0,0,0,0
05132,0,0,0,0,0,0,0,0
05133,0,0,0,0,0,0,0,0
05134,0,0,0,0,0,0,0,0
05135,0,0,0,0,0,0,0,0
05136,0,0,0,0,0,0,0,0
05138,0,0,0,0,0,0,0,0
05139,0,0,0,0,0,0,0,0
05140,0,0,0,0,0,0,0,0
05141,0,0,0,0,0,0,0,0
05142,0,0,0,0,0,0,0,0
05143,0,0,0,0,0,0,0,0
05144,0,0,0,0,0,0,0,0
05145,0,0,0,0,0,0,0,0
05147,0,0,0,0,0,0,0,0
05148,0,0,0,0,0,0,0,0
05149,0,0,0,0,0,0,0,0
05151,0,0,0,0,0,0,0,0
05152,0,0,0,0,0,0,0,0
05153,0,0,0,0,0,0,0,0
05154,0,0,0,0,0,0,0,0
05155,0,0,0,0,0,0,0,0
05156,0,0,0,0,0,0,0,0
05157,0,0,0,0,0,0,0,0
05158,0,0,0,0,0,0,0,0
05159,0,0,0,0,0,0,0,0
05160,0,0,0,0,0,0,0,0
05161,0,0,0,0,0,0,0,0
05162,0,0,0,0,0,0,0,0
05163,14,36,0,0,0,0,0,0
05164,0,0,0,0,0,0,0,0
05165,0,0,0,0,0,0,0,0
05166,0,0,0,0,0,0,0,0
05167,0,0,0,0,0,0,0,0
05168,30,102,4,11,12,37,14,33
05169,0,0,0,0,0,0,0,0
05170,0,0,0,0,0,0,0,0
05171,0,0,0,0,0,0,0,0
05172,0,0,0,0,0,0,0,0
05173,0,0,0,0,0,0,0,0
05174,0,0,0,0,0,0,0,0
05175,0,0,0,0,0,0,0,0
05176,0,0,0,0,0,0,0,0
05177,0,0,0,0,0,0,0,0
05178,0,0,0,0,0,0,0,0
05179,0,0,0,0,0,0,0,0
05180,0,0,0,0,0,0,0,0
05181,0,0,0,0,0,0,0,0
05182,0,0,0,0,0,0,0,0
05183,0,0,0,0,0,0,0,0
05184,0,0,0,0,0,0,0,0
05185,0,0,0,0,0,0,0,0
05186,13,25,0,0,0,0,0,0
05187,8,38,0,0,0,0,0,0
05188,0,0,0,0,0,0,0,0
05189,0,0,0,0,0,0,0,0
05190,0,0,0,0,0,0,0,0
05191,0,0,0,0,0,0,0,0
05192,0,0,0,0,0,0,0,0
05193,0,0,0,0,0,0,0,0
05194,0,0,0,0,0,0,0,0
05195,0,0,0,0,0,0,0,0
05196,0,0,0,0,0,0,0,0
05197,0,0,0,0,0,0,0,0
05198,0,0,0,0,0,0,0,0
05199,0,0,0,0,0,0,0,0
05200,0,0,0,0,0,0,0,0
05201,0,0,0,0,0,0,0,0
05204,0,0,0,0,0,0,0,0
05205,0,0,0,0,0,0,0,0
05206,0,0,0,0,0,0,0,0
05207,0,0,0,0,0,0,0,0
05208,0,0,0,0,0,0,0,0
05209,0,0,0,0,0,0,0,0
05210,0,0,0,0,0,0,0,0
05211,0,0,0,0,0,0,0,0
05212,0,0,0,0,0,0,0,0
05213,0,0,0,0,0,0,0,0
05214,0,0,0,0,0,0,0,0
05215,0,0,0,0,0,0,0,0
05216,0,0,0,0,0,0,0,0
05217,0,0,0,0,0,0,0,0
05218,0,0,0,0,0,0,0,0
05219,0,0,0,0,0,0,0,0
05220,0,0,0,0,0,0,0,0
05221,0,0,0,0,0,0,0,0
05222,0,0,0,0,0,0,0,0
05224,0,0,0,0,0,0,0,0
05225,0,0,0,0,0,0,0,0
05226,0,0,0,0,0,0,0,0
05227,0,0,0,0,0,0,0,0
05228,0,0,0,0,0,0,0,0
05229,0,0,0,0,0,0,0,0
05230,0,0,0,0,0,0,0,0
05231,0,0,0,0,0,0,0,0
05232,0,0,0,0,0,0,0,0
05233,0,0,0,0,0,0,0,0
05234,0,0,0,0,0,0,0,0
05235,0,0,0,0,0,0,0,0
05236,0,0,0,0,0,0,0,0
05237,0,0,0,0,0,0,0,0
05238,0,0,0,0,0,0,0,0
05239,0,0,0,0,0,0,0,0
05240,32,78,0,0,0,0,0,0
05241,11,40,0,0,0,0,0,0
05242,0,0,0,0,0,0,0,0
05243,0,0,0,0,0,0,0,0
05244,0,0,0,0,0,0,0,0
05245,0,0,0,0,0,0,0,0
05246,0,0,0,0,0,0,0,0
